hold,rsi,dist,maxdist,minatr,exitbuf,train_pf,test_pf,all_pf,train_tpd,test_tpd,all_tpd,trades,net,dd,score
10,40.0,1.35,2.5,0.0002,0.2,0.9123795607941956,2.3119515624074856,1.3216431455084314,0.5678490008010023,0.8696227663798809,0.61024599413225,169,4536.721428571471,2865.687142857182,1.4773434078045007
8,45.0,1.5,3.0,0.0004,0.2,1.4009296074074553,1.97190881151856,1.5754655428278466,0.6388563682297123,0.7468005018820577,0.6138569171744527,170,7665.781428571529,3581.2157142857127,1.4759408500309363
10,42.0,1.35,2.5,0.0003,0.3,1.0615267305812404,2.1913598153455403,1.3892484473864872,0.6152202937249667,0.8815354070152217,0.6427443015120741,178,5518.202857142945,2871.377142857151,1.4753391898179897
8,35.0,1.35,3.0,0.0003,0.2,1.2500820003647681,2.072983173968988,1.514452925158693,0.4939557374000372,0.7588456712672522,0.5271947641615888,146,5948.77571428577,3331.8371428571386,1.4746581373313403
8,35.0,1.35,3.0,0.0004,0.2,1.2500820003647681,2.072983173968988,1.514452925158693,0.4939557374000372,0.7588456712672522,0.5271947641615888,146,5948.77571428577,3331.8371428571386,1.4746581373313403
12,42.0,1.35,2.5,0.0003,0.2,0.8906002904506519,2.387630249628837,1.2886882055002555,0.6092296317594628,0.8815354070152217,0.6391333784698714,177,4723.844285714298,3739.1671428571744,1.474602980683469
8,37.0,1.5,2.5,0.0,0.2,1.3027905716360935,1.9132355694650187,1.5331744775189888,0.4165805678389883,0.6790205162144275,0.4585872263597382,127,5367.910000000017,1397.4400000000078,1.4742947059900662
8,37.0,1.5,2.5,0.0002,0.2,1.3027905716360935,1.9132355694650187,1.5331744775189888,0.4165805678389883,0.6790205162144275,0.4585872263597382,127,5367.910000000017,1397.4400000000078,1.4742947059900662
10,45.0,1.35,2.5,0.0,0.4,1.224711274134923,2.0321409534237405,1.4686096973280245,0.6743760911985212,0.941137538779731,0.6969168850383038,193,6614.822857142946,2556.0700000000115,1.4725269312919338
10,45.0,1.35,2.5,0.0002,0.4,1.224711274134923,2.0321409534237405,1.4686096973280245,0.6743760911985212,0.941137538779731,0.6969168850383038,193,6614.822857142946,2556.0700000000115,1.4725269312919338
12,45.0,1.35,2.5,0.0,0.2,1.0205615106138926,2.2384100776425906,1.3684867925723256,0.6683781396972747,0.9410986101919259,0.6932972241029113,192,6167.427142857159,3278.4671428571864,1.472433118026534
12,45.0,1.35,2.5,0.0002,0.2,1.0205615106138926,2.2384100776425906,1.3684867925723256,0.6683781396972747,0.9410986101919259,0.6932972241029113,192,6167.427142857159,3278.4671428571864,1.472433118026534
8,37.0,1.5,2.5,0.0003,0.2,1.2971924720226025,1.9132355694650187,1.5296891187078052,0.4106294168698599,0.6790205162144275,0.4549763033175355,126,5332.820000000017,1397.4400000000078,1.4720175631723467
8,37.0,1.35,3.0,0.0003,0.2,1.2133845435785313,2.0836350327486723,1.4925942159710397,0.5653710247349824,0.8577101257445401,0.6030241480478448,167,6322.421428571478,3288.1328571428776,1.4710079655138495
8,45.0,1.5,3.0,0.0004,0.3,1.4007850038845675,1.9617364241405257,1.5741694047806836,0.6388826127143884,0.7468005018820577,0.6138569171744527,170,7512.081428571532,3583.285714285705,1.4710057972206665
8,42.0,1.35,2.5,0.0004,0.3,1.1804793053259097,2.0388670079676112,1.4460307730830233,0.6270514532196775,0.8672521957340026,0.6427443015120741,178,5964.812857142939,2120.957142857141,1.4703246353233967
8,37.0,1.35,2.5,0.0,0.4,1.1558916652531595,2.016551536518753,1.4570909125061875,0.49394553043765754,0.8339193381592553,0.5524781523878782,153,5075.38142857146,1528.242857142885,1.4696159121530734
8,37.0,1.35,2.5,0.0002,0.4,1.1558916652531595,2.016551536518753,1.4570909125061875,0.49394553043765754,0.8339193381592553,0.5524781523878782,153,5075.38142857146,1528.242857142885,1.4696159121530734
8,37.0,1.35,2.5,0.0003,0.4,1.1510300644182379,2.016551536518753,1.4539306928565767,0.48799437946852914,0.8339193381592553,0.5488671840716175,152,5040.291428571461,1528.242857142885,1.467587919598608
