entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,wave_stage,setup_type,wave_tf,fib_zone,divergence_type,m15_confirmation_type,failure_type,wave_size_atr,retracement_ratio,extension_ratio,wave_rule_validity,wave3_break_confirmed,pivot_confirmation_delay_bars,entry_delay_from_pivot,pivot_time,pivot_confirmed_time,room_to_1r,room_to_2r,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.08 07:00:01,2025.01.08 09:43:44,abc_completion_reentry_only,EURUSD,LONG,EUR,USD,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,ma_reclaim,no_follow_through,7.7048,0.7667,0.6320,valid_abc,false,3,6,2025.01.08 00:00:00,2025.01.08 03:00:00,4.7288,4.7288,1.03523000,1.03346000,1.03346000,1.03771000,0.00177000,-1.0000,-23.01,0.00,0.00,-23.01,0.130,1.400,10,0.00167429,18.00,1.3000,DEAL_REASON_SL,65
2025.01.08 06:15:00,2025.01.08 11:01:47,abc_completion_reentry_only,GBPJPY,LONG,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,candle_reversal,target_blocked,6.6643,0.5749,0.5027,valid_abc,false,3,7,2025.01.07 22:00:00,2025.01.08 01:00:00,1.0355,1.0355,197.50800000,196.79800000,196.80300000,198.49500000,0.70500000,-1.0071,-22.51,0.00,0.00,-22.51,0.050,1.400,19,0.36042857,38.00,1.2018,DEAL_REASON_SL,63
2025.01.08 04:30:00,2025.01.08 12:30:03,abc_completion_reentry_only,AUDJPY,LONG,AUD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,ma_reclaim,fib_not_aligned,4.5775,0.8797,1.6483,valid_abc,false,3,5,2025.01.07 22:00:00,2025.01.08 01:00:00,3.2063,3.2063,98.44200000,98.37200000,98.21900000,98.75400000,0.22300000,-0.3139,-7.55,0.00,0.00,-7.55,0.170,1.400,32,0.19071429,28.00,0.9500,DEAL_REASON_EXPERT,61
2025.01.08 09:15:00,2025.01.08 13:34:49,abc_completion_reentry_only,GBPUSD,SHORT,GBP,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,ma_reclaim,other,2.8230,0.6875,0.1053,valid_abc,false,3,5,2025.01.07 08:00:00,2025.01.07 20:00:00,0.4857,0.4857,1.24823000,1.23442000,1.25803000,1.23452000,0.00980000,1.4092,27.62,0.00,0.00,27.62,0.020,1.400,17,0.00357071,20.00,1.1743,DEAL_REASON_TP,67
2025.01.08 09:45:00,2025.01.08 17:45:00,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,micro_bos,other,2.3360,0.7506,0.2334,valid_abc,false,3,10,2025.01.06 12:00:00,2025.01.07 00:00:00,0.2603,0.2603,1.03348000,1.03001000,1.04416000,1.01853000,0.01068000,0.3249,6.94,0.00,0.00,6.94,0.020,1.400,32,0.00370714,18.00,1.1630,DEAL_REASON_EXPERT,69
2025.01.08 11:15:00,2025.01.08 19:15:00,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,micro_bos,other,4.5782,0.7832,0.4108,valid_abc,false,3,6,2025.01.07 04:00:00,2025.01.07 16:00:00,0.6237,0.6237,196.79900000,195.66600000,198.34300000,194.63700000,1.54400000,0.7338,14.37,0.00,0.00,14.37,0.020,1.400,32,0.70114286,38.00,1.1812,DEAL_REASON_EXPERT,71
2025.01.08 19:15:00,2025.01.09 03:15:01,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,candle_reversal,other,4.5782,0.7832,0.4108,valid_abc,false,3,8,2025.01.07 04:00:00,2025.01.07 16:00:00,0.1904,0.1904,195.62800000,195.50700000,198.34300000,191.82700000,2.71500000,0.0446,0.77,0.00,-0.42,0.35,0.010,1.400,32,0.70114286,38.00,1.1595,DEAL_REASON_EXPERT,76
2025.01.08 19:30:00,2025.01.09 03:30:03,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,ma_reclaim,target_blocked,2.3360,0.7506,0.2334,valid_abc,false,3,12,2025.01.06 12:00:00,2025.01.07 00:00:00,0.2138,0.2138,1.03022000,1.03162000,1.04416000,1.01071000,0.01394000,-0.1004,-1.40,0.00,0.08,-1.32,0.010,1.400,32,0.00370714,18.00,1.1607,DEAL_REASON_EXPERT,77
2025.01.09 03:45:00,2025.01.09 11:45:00,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,candle_reversal,other,2.3360,0.7506,0.2334,valid_abc,false,3,14,2025.01.06 12:00:00,2025.01.07 00:00:00,0.3198,0.3198,1.03134000,1.03124000,1.04416000,1.01340000,0.01282000,0.0078,0.10,0.00,0.00,0.10,0.010,1.400,32,0.00370714,18.00,1.1660,DEAL_REASON_EXPERT,80
2025.01.10 12:30:00,2025.01.10 15:30:02,abc_completion_reentry_only,GBPUSD,LONG,GBP,USD,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,candle_reversal,no_follow_through,7.6478,0.6612,0.5611,valid_abc,false,3,3,2025.01.10 08:00:00,2025.01.10 11:00:00,3.8808,3.8808,1.23031000,1.22592000,1.22645000,1.23571000,0.00386000,-1.1373,-26.34,0.00,0.00,-26.34,0.060,1.400,12,0.00111143,20.00,1.3000,DEAL_REASON_SL,83
