session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny,1,0.0,0.7,0.6,8.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
ny,1,0.0,0.7,0.6,10.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
ny,1,0.0,0.7,0.6,12.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
ny,1,1.0,0.7,0.6,8.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
ny,1,1.0,0.7,0.6,10.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
ny,1,1.0,0.7,0.6,12.0,65.0,11,0.03179318373409337,0.034545454545454615,0.5454545454545454,4,0.1428217208033722,-0.09250000000000003,0.5,0.04891545492863685
all,4,0.0,0.45,0.6,14.0,100.0,159,0.4014306753629287,-0.23811320754716978,0.42138364779874216,43,0.49812960057922046,-0.12023255813953489,0.4883720930232558,0.048465234092623766
london_open,2,1.0,0.45,0.6,14.0,100.0,22,0.06528055389560881,-0.2563636363636363,0.4090909090909091,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.047793484516495524
london_open,2,2.0,0.45,0.6,14.0,100.0,22,0.06528055389560881,-0.2563636363636363,0.4090909090909091,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.047793484516495524
london_open,2,3.0,0.45,0.6,14.0,100.0,22,0.06528055389560881,-0.2563636363636363,0.4090909090909091,9,0.16696727647513526,0.02222222222222224,0.5555555555555556,0.047793484516495524
