episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,distance_index,distance_atr,atr14_m5,entry_msc,entry_bid,entry_ask,entry_price,entry_spread,pip_size,tick_size,stops_distance,distance,sl,tp,status,exit_msc,exit_price,gross_pips,gross_r,mfe_60,mae_60,mfe_300,mae_300,mfe_900,mae_900,tp_touch_seconds,sl_touch_seconds,entry_eligible_msc,source_quote_msc,calendar_segment
tstech_discovery_r2_202504_GBPUSD_mh_146,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,GBPUSD,4689,1744106943500,1744106943717,3,1,0.000666531709,1744106943717,1.27783,1.27803,1.27783,0.0002,0.0001,1e-05,0,0.00067,1.2785,1.27716,TP,1744107599125,1.27716,6.699999999999,1,0,0.00044,0.00046,0.00044,0.00097,0.00057,655.408,,1744106943717,1744106943107,0
tstech_discovery_r2_202504_USDJPY_mh_194,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4693,1744107211000,1744107211378,3,1,0.112480599733,1744107211593,147.163,147.183,147.163,0.02,0.01,0.001,0,0.113,147.276,147.05,TIME,1744108111938,147.116,4.7,0.41592920354,0.057,0.022,0.098,0.022,0.109,0.083,,,1744107211378,1744107210995,0
tstech_discovery_r2_202504_EURUSD_mh_87,-1,0.00033540251226757,-0.17652697911591,0.00033540251226757,EURUSD,4695,1744107374000,1744107374270,3,1,0.000738686955,1744107374270,1.09766,1.09784,1.09766,0.00018,0.0001,1e-05,0,0.00074,1.0984,1.09692,TP,1744107592890,1.09692,7.4,1,0.00038,0.00015,0.00145,0.00015,0.00208,0.00015,218.62,,1744107374270,1744107373868,0
tstech_discovery_r2_202504_USDCAD_mh_126,-1,0.00033540251226757,-0.17652697911591,0.00033540251226757,USDCAD,4698,1744107587750,1744107588970,3,1,0.000744878978,1744107589155,1.41665,1.4169,1.41665,0.00025,0.0001,1e-05,0,0.00075,1.4174,1.4159,SL,1744108220646,1.41742,-7.699999999999,-1.026666666667,0,0.0007,0,0.0007,0,0.00107,,631.491,1744107588970,1744107587547,0
tstech_discovery_r2_202504_AUDUSD_mh_79,-1,-0.34903240873589,-0.39150333213076,-0.34903240873589,AUDUSD,4700,1744107791750,1744107792157,3,1,0.000771718029,1744107794250,0.60635,0.60656,0.60635,0.00021,0.0001,1e-05,0,0.00078,0.60713,0.60557,SL,1744108117196,0.60713,-7.8,-1,0,0.00041,0,0.00072,0.00077,0.00124,,322.946,1744107792157,1744107791438,0
tstech_discovery_r2_202504_USDCHF_mh_119,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,USDCHF,4702,1744107862000,1744107862223,3,1,0.000583151482,1744107862568,0.85661,0.85686,0.85661,0.00025,0.0001,1e-05,0,0.00059,0.8572,0.85602,COST_DISTANCE_REJECT,0,0,,,0,0.00074,0,0.00089,0,0.00188,,13.074,1744107862223,1744107861852,0
tstech_discovery_r2_202504_GBPUSD_mh_147,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,GBPUSD,4707,1744108222500,1744108223073,3,1,0.000746137783,1744108223174,1.27764,1.27784,1.27764,0.0002,0.0001,1e-05,0,0.00075,1.27839,1.27689,SL,1744108412591,1.27841,-7.700000000002,-1.026666666667,2e-05,0.00033,0.00023,0.00084,0.00188,0.00084,457.79,189.417,1744108223073,1744108222187,0
tstech_discovery_r2_202504_USDCAD_mh_127,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,USDCAD,4713,1744108613500,1744108613954,3,1,0.000755787652,1744108614096,1.41829,1.41854,1.41829,0.00025,0.0001,1e-05,0,0.00076,1.41905,1.41753,TIME,1744109514204,1.41832,-0.3,-0.03947368421,3e-05,0.00048,3e-05,0.00048,0.00014,0.00059,,,1744108613954,1744108613190,0
tstech_discovery_r2_202504_USDJPY_mh_195,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4714,1744108625750,1744108626735,3,1,0.118627222528,1744108626737,147.008,147.025,147.008,0.017,0.01,0.001,0,0.119,147.127,146.889,SL,1744109166312,147.127,-11.9,-1,0,0.036,0.032,0.059,0.032,0.175,,539.575,1744108626735,1744108625632,0
tstech_discovery_r2_202504_EURUSD_mh_88,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,EURUSD,4723,1744109053000,1744109053600,3,1,0.000901665518,1744109053600,1.09486,1.09504,1.09486,0.00018,0.0001,1e-05,0,0.00091,1.09577,1.09395,TP,1744109217994,1.09395,9.1,1,0.00023,0.00037,0.00091,0.00037,0.0026,0.00037,164.394,,1744109053600,1744109052697,0
tstech_discovery_r2_202504_USDCHF_mh_120,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,USDCHF,4723,1744109053500,1744109053802,3,1,0.000686757587,1744109054643,0.85767,0.85797,0.85797,0.0003,0.0001,1e-05,0,0.00069,0.85728,0.85866,COST_DISTANCE_REJECT,0,0,,,4e-05,0.00037,0.00038,0.00037,0.00194,0.00049,705.362,,1744109053802,1744109053414,0
tstech_discovery_r2_202504_GBPUSD_mh_148,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,GBPUSD,4733,1744109625500,1744109626780,3,1,0.000819530957,1744109626790,1.27626,1.27646,1.27626,0.0002,0.0001,1e-05,0,0.00082,1.27708,1.27544,TP,1744109914400,1.27544,8.2,1,2e-05,0.00047,0.00091,0.00056,0.00159,0.00056,287.61,,1744109626780,1744109625280,0
tstech_discovery_r2_202504_USDCAD_mh_128,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,USDCAD,4737,1744109865750,1744109866229,3,1,0.000747021063,1744109866728,1.41835,1.4186,1.4186,0.00025,0.0001,1e-05,0,0.00075,1.41785,1.41935,SL,1744110353811,1.41776,-8.400000000002,-1.12,0.0003,0.00051,0.00058,0.00051,0.00058,0.00118,,487.083,1744109866229,1744109865420,0
tstech_discovery_r2_202504_AUDUSD_mh_80,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,AUDUSD,4742,1744110028750,1744110029169,3,1,0.000803461936,1744110029311,0.60467,0.60488,0.60488,0.00021,0.0001,1e-05,0,0.00081,0.60407,0.60569,TIME,1744110930520,0.60545,5.700000000001,0.703703703704,0,0.00047,0.00012,0.00051,0.00067,0.00051,,,1744110029169,1744110028604,0
tstech_discovery_r2_202504_EURUSD_mh_89,-1,-0.14413591156793,-0.17652697911591,-0.14413591156793,EURUSD,4744,1744110041750,1744110042906,3,1,0.001010348783,1744110042906,1.09253,1.09271,1.09253,0.00018,0.0001,1e-05,0,0.00102,1.09355,1.09151,SL,1744110397670,1.09356,-10.300000000001,-1.009803921569,0,0.00045,0,0.00078,0,0.00189,,354.764,1744110042906,1744110041693,0
tstech_discovery_r2_202504_USDCHF_mh_121,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,USDCHF,4744,1744110041750,1744110042906,3,1,0.00077010994,1744110043145,0.85962,0.85987,0.85962,0.00025,0.0001,1e-05,0,0.00078,0.8604,0.85884,TP,1744110560864,0.85884,7.8,1,0,0.00043,0.00055,0.00043,0.00112,0.00043,517.719,,1744110042906,1744110041604,0
tstech_discovery_r2_202504_GBPUSD_mh_149,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,GBPUSD,4746,1744110876250,1744110876774,3,1,0.000906736613,1744110876979,1.27499,1.27519,1.27499,0.0002,0.0001,1e-05,0,0.00091,1.2759,1.27408,SL,1744111570447,1.27592,-9.299999999999,-1.021978021978,0,0.00054,0,0.00078,0,0.00194,,693.468,1744110876774,1744110876168,0
tstech_discovery_r2_202504_USDJPY_mh_196,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,4747,1744110902750,1744110903652,3,1,0.130701860201,1744110903719,147.091,147.109,147.091,0.018,0.01,0.001,0,0.131,147.222,146.96,TIME,1744111803750,147.094,-0.299999999999,-0.022900763359,0.016,0.026,0.046,0.038,0.059,0.079,,,1744110903652,1744110902720,0
tstech_discovery_r2_202504_USDCHF_mh_122,-1,0.00033540251226757,-0.39150333213076,0.00033540251226757,USDCHF,4754,1744111647750,1744111648978,3,1,0.000714096173,1744111649212,0.85906,0.85931,0.85906,0.00025,0.0001,1e-05,0,0.00072,0.85978,0.85834,COST_DISTANCE_REJECT,0,0,,,0,0.00052,0,0.00065,0,0.00094,,311.477,1744111648978,1744111647531,0
tstech_discovery_r2_202504_USDCAD_mh_129,-1,-0.34903240873589,-0.39150333213076,-0.34903240873589,USDCAD,4756,1744111888500,1744111889520,3,1,0.000808985214,1744111889668,1.41726,1.41751,1.41726,0.00025,0.0001,1e-05,0,0.00081,1.41807,1.41645,SL,1744112111579,1.41808,-8.2,-1.012345679012,0,0.00029,0,0.00091,0,0.00097,,221.911,1744111889520,1744111888466,0
tstech_discovery_r2_202504_GBPUSD_mh_150,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,GBPUSD,4757,1744111939000,1744111939140,3,1,0.000878904997,1744111939341,1.27663,1.27683,1.27663,0.0002,0.0001,1e-05,0,0.00088,1.27751,1.27575,TIME,1744112839733,1.2764,2.3,0.261363636364,0.00022,0.0002,0.00053,0.00034,0.00058,0.00034,,,1744111939140,1744111938639,0
tstech_discovery_r2_202504_USDJPY_mh_197,1,0.18433782862125,0.18433782862125,-0.14413591156793,USDJPY,4758,1744112006250,1744112006699,3,1,0.127742342251,1744112006701,147.193,147.214,147.214,0.021,0.01,0.001,0,0.128,147.086,147.342,TIME,1744112907979,147.3,8.600000000001,0.671875,0.002,0.041,0.036,0.043,0.115,0.043,,,1744112006699,1744112005851,0
tstech_discovery_r2_202504_AUDUSD_mh_81,1,-0.39150333213076,-0.39150333213076,-0.469716604009,AUDUSD,4760,1744112461500,1744112461905,3,1,0.000748775336,1744112462150,0.60558,0.60579,0.60579,0.00021,0.0001,1e-05,0,0.00075,0.60504,0.60654,TP,1744113337215,0.60654,7.5,1,0,0.00026,0.0005,0.00026,0.00079,0.00026,875.065,,1744112461905,1744112461445,0
tstech_discovery_r2_202504_GBPUSD_mh_151,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,GBPUSD,4767,1744113091500,1744113091919,3,1,0.000859591982,1744113091956,1.2761,1.2763,1.2763,0.0002,0.0001,1e-05,0,0.00086,1.27544,1.27716,SL,1744113182538,1.27536,-9.399999999999,-1.093023255814,0,0.00055,0,0.00123,0,0.00273,,90.582,1744113091919,1744113091059,0
tstech_discovery_r2_202504_EURUSD_mh_90,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,EURUSD,4768,1744113133250,1744113134088,3,1,0.00082724766,1744113134088,1.09394,1.09412,1.09394,0.00018,0.0001,1e-05,0,0.00083,1.09477,1.09311,TP,1744113237064,1.09311,8.300000000001,1,0.00048,0.00029,0.0009,0.00035,0.00108,0.00035,102.976,,1744113134088,1744113133065,0
tstech_discovery_r2_202504_USDCHF_mh_123,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCHF,4769,1744113157750,1744113158010,3,1,0.000623259859,1744113158375,0.8598,0.86006,0.86006,0.00026,0.0001,1e-05,0,0.00063,0.85943,0.86069,COST_DISTANCE_REJECT,0,0,,,0,0.0003,0,0.00116,0,0.00116,,152.56,1744113158010,1744113157565,0
tstech_discovery_r2_202504_USDJPY_mh_198,-1,-0.14413591156793,-0.14504900184201,-0.14413591156793,USDJPY,4772,1744113286750,1744113287130,3,1,0.127316275401,1744113287259,147.37,147.389,147.37,0.019,0.01,0.001,0,0.128,147.498,147.242,SL,1744113464675,147.498,-12.799999999999,-1,0.031,0.026,0.031,0.128,0.031,0.137,,177.416,1744113287130,1744113286432,0
tstech_discovery_r2_202504_USDCAD_mh_130,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCAD,4773,1744113351500,1744113351799,3,1,0.000745750873,1744113351875,1.41772,1.41796,1.41796,0.00024,0.0001,1e-05,0,0.00075,1.41721,1.41871,TP,1744113761417,1.41871,7.5,1,0,0.0006,1e-05,0.00063,0.00095,0.00063,409.542,,1744113351799,1744113351270,0
tstech_discovery_r2_202504_EURUSD_mh_91,1,-0.39150333213076,-0.39150333213076,-0.47709429344079,EURUSD,4784,1744114281250,1744114282375,3,1,0.000895198105,1744114282375,1.0921,1.09228,1.09228,0.00018,0.0001,1e-05,0,0.0009,1.09138,1.09318,SL,1744115083500,1.09134,-9.399999999999,-1.044444444444,0,0.00024,0.00072,0.00073,0.00072,0.00116,,801.125,1744114282375,1744114281068,1
tstech_discovery_r2_202504_GBPUSD_mh_152,-1,-0.14413591156793,-0.17652697911591,-0.14413591156793,GBPUSD,4785,1744114355250,1744114355869,3,1,0.000933272506,1744114356471,1.27298,1.27318,1.27298,0.0002,0.0001,1e-05,0,0.00094,1.27392,1.27204,SL,1744114397616,1.27394,-9.600000000001,-1.021276595745,0,0.00096,0,0.00112,0.00036,0.00112,,41.145,1744114355869,1744114355066,1
tstech_discovery_r2_202504_USDJPY_mh_199,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4786,1744114735500,1744114735883,3,1,0.133271069844,1744114736094,147.305,147.321,147.305,0.016,0.01,0.001,0,0.134,147.439,147.171,SL,1744115413320,147.439,-13.399999999999,-1,0.037,0.021,0.037,0.116,0.037,0.153,,677.226,1744114735883,1744114735390,1
tstech_discovery_r2_202504_GBPUSD_mh_153,1,-0.17652697911591,-0.17652697911591,-0.469716604009,GBPUSD,4790,1744115725500,1744115727138,3,1,0.000846719075,1744115727669,1.27282,1.27302,1.27302,0.0002,0.0001,1e-05,0,0.00085,1.27217,1.27387,TP,1744116258769,1.27387,8.5,1,0.00042,0.00017,0.00042,0.00037,0.00176,0.00037,531.1,,1744115727138,1744115725350,1
tstech_discovery_r2_202504_USDJPY_mh_200,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4791,1744115870000,1744115870746,3,1,0.129519237552,1744115871508,147.426,147.447,147.426,0.021,0.01,0.001,0,0.13,147.556,147.296,TP,1744116694692,147.296,13,1,0,0.057,0.023,0.079,0.182,0.079,823.184,,1744115870746,1744115869672,1
tstech_discovery_r2_202504_USDCHF_mh_124,1,-0.17652697911591,-0.17652697911591,-0.469716604009,USDCHF,4793,1744116369750,1744116370643,3,1,0.000549243378,1744116370931,0.858,0.85826,0.85826,0.00026,0.0001,1e-05,0,0.00055,0.85771,0.85881,COST_DISTANCE_REJECT,0,0,,,0,0.00034,7e-05,0.00034,7e-05,0.00111,,471.393,1744116370643,1744116369603,1
tstech_discovery_r2_202504_EURUSD_mh_92,1,-0.14504900184201,-0.14504900184201,-0.47709429344079,EURUSD,4794,1744116634500,1744116634833,3,1,0.000881190226,1744116634833,1.09261,1.09279,1.09279,0.00018,0.0001,1e-05,0,0.00089,1.0919,1.09368,SL,1744117194378,1.09188,-9.1,-1.022471910112,4e-05,0.00026,4e-05,0.00049,9e-05,0.00142,,559.545,1744116634833,1744116634425,1
tstech_discovery_r2_202504_USDJPY_mh_201,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4798,1744116842750,1744116842882,3,1,0.123935409745,1744116843067,147.168,147.189,147.168,0.021,0.01,0.001,0,0.124,147.292,147.044,TIME,1744117743271,147.176,-0.799999999998,-0.064516129032,0,0.044,0.047,0.051,0.047,0.115,,,1744116842882,1744116842467,1
tstech_discovery_r2_202504_GBPUSD_mh_154,1,-0.39150333213076,-0.39150333213076,-0.469716604009,GBPUSD,4799,1744117021500,1744117022062,3,1,0.000861776436,1744117022317,1.27445,1.27465,1.27465,0.0002,0.0001,1e-05,0,0.00087,1.27378,1.27552,TP,1744117613862,1.27552,8.699999999999,1,0.0004,0.00047,0.0004,0.00049,0.00094,0.00049,591.545,,1744117022062,1744117021111,1
tstech_discovery_r2_202504_USDCAD_mh_131,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCAD,4801,1744117448250,1744117449314,3,1,0.000745039409,1744117449472,1.42,1.42025,1.42025,0.00025,0.0001,1e-05,0,0.00075,1.4195,1.421,SL,1744117569099,1.41948,-7.699999999999,-1.026666666667,0,0.00057,0,0.00124,0,0.00133,,119.627,1744117449314,1744117448115,1
tstech_discovery_r2_202504_USDJPY_mh_202,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4804,1744118434000,1744118434863,3,1,0.126256920397,1744118434984,147.026,147.046,147.026,0.02,0.01,0.001,0,0.127,147.153,146.899,TP,1744119035267,146.899,12.700000000001,1,0.011,0.026,0.011,0.074,0.155,0.074,600.283,,1744118434863,1744118433897,1
tstech_discovery_r2_202504_GBPUSD_mh_155,1,-0.39150333213076,-0.39150333213076,-0.469716604009,GBPUSD,4805,1744119061250,1744119062769,3,1,0.000864170961,1744119062978,1.27491,1.27511,1.27511,0.0002,0.0001,1e-05,0,0.00087,1.27424,1.27598,TP,1744119365256,1.27598,8.699999999999,1,0.00014,0.00022,0.00064,0.00022,0.00171,0.00022,302.278,,1744119062769,1744119060911,1
tstech_discovery_r2_202504_EURUSD_mh_93,1,0.18433782862125,0.18433782862125,-0.14413591156793,EURUSD,4806,1744119189250,1744119190735,3,1,0.000845974903,1744119190735,1.09341,1.09359,1.09359,0.00018,0.0001,1e-05,0,0.00085,1.09274,1.09444,TIME,1744120091087,1.09308,-5.1,-0.6,0,0.00033,0,0.00065,0.00025,0.00065,,,1744119190735,1744119188928,1
tstech_discovery_r2_202504_AUDUSD_mh_82,1,-0.17652697911591,-0.17652697911591,-0.469716604009,AUDUSD,4807,1744119354500,1744119356977,3,1,0.000612727975,1744119356977,0.60462,0.60483,0.60483,0.00021,0.0001,1e-05,0,0.00062,0.60421,0.60545,COST_DISTANCE_REJECT,0,0,,,0.00026,0.00013,0.00026,0.00013,0.00031,0.00018,,,1744119356977,1744119354462,1
tstech_discovery_r2_202504_USDCAD_mh_132,1,-0.17652697911591,-0.17652697911591,-0.469716604009,USDCAD,4816,1744120441750,1744120442704,3,1,0.000694858166,1744120442793,1.41957,1.41982,1.41982,0.00025,0.0001,1e-05,0,0.0007,1.41912,1.42052,COST_DISTANCE_REJECT,0,0,,,0,0.00029,0.00013,0.0004,0.00029,0.00084,,713.241,1744120442704,1744120441586,1
tstech_discovery_r2_202504_GBPUSD_mh_156,-1,-0.14413591156793,-0.17652697911591,-0.14413591156793,GBPUSD,4817,1744120818500,1744120819029,3,1,0.000899946777,1744120819790,1.27526,1.27546,1.27526,0.0002,0.0001,1e-05,0,0.0009,1.27616,1.27436,SL,1744120884645,1.27621,-9.5,-1.055555555556,0,0.00086,0,0.00135,0,0.00198,,64.855,1744120819029,1744120818484,1
tstech_discovery_r2_202504_EURUSD_mh_94,-1,-0.14413591156793,-0.17652697911591,-0.14413591156793,EURUSD,4824,1744121620500,1744121622416,3,1,0.000808493791,1744121622416,1.09346,1.09364,1.09346,0.00018,0.0001,1e-05,0,0.00081,1.09427,1.09265,SL,1744121834888,1.09427,-8.1,-1,0,0.00059,0,0.00089,0,0.00112,,212.472,1744121622416,1744121620009,1
tstech_discovery_r2_202504_USDJPY_mh_203,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,4826,1744121905750,1744121905956,3,1,0.11730852625,1744121906056,146.964,146.983,146.964,0.019,0.01,0.001,0,0.118,147.082,146.846,TP,1744121946158,146.846,11.799999999999,1,0.157,0.029,0.166,0.029,0.166,0.049,40.102,,1744121905956,1744121905555,1
tstech_discovery_r2_202504_GBPUSD_mh_157,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,GBPUSD,4827,1744121939000,1744121939319,3,1,0.000958477798,1744121939319,1.27743,1.27763,1.27743,0.0002,0.0001,1e-05,0,0.00096,1.27839,1.27647,TIME,1744122840015,1.27672,7.1,0.739583333333,0,0.00051,0.00016,0.00051,0.00077,0.00051,,,1744121939319,1744121938614,1
tstech_discovery_r2_202504_USDCHF_mh_125,-1,-0.18011448748955,-0.39150333213076,-0.18011448748955,USDCHF,4829,1744122296500,1744122297384,3,1,0.000598528968,1744122298024,0.85489,0.85514,0.85489,0.00025,0.0001,1e-05,0,0.0006,0.85549,0.85429,COST_DISTANCE_REJECT,0,0,,,0,0.00034,0,0.00065,0,0.00069,,206.738,1744122297384,1744122296252,1
tstech_discovery_r2_202504_USDCAD_mh_133,1,-0.17652697911591,-0.17652697911591,-0.469716604009,USDCAD,4833,1744123098000,1744123098823,3,1,0.000682791354,1744123099329,1.41847,1.41872,1.41872,0.00025,0.0001,1e-05,0,0.00069,1.41803,1.41941,COST_DISTANCE_REJECT,0,0,,,0,0.00041,0,0.0006,0,0.00209,,461.725,1744123098823,1744123097767,1
tstech_discovery_r2_202504_USDJPY_mh_204,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,4834,1744123105750,1744123106201,3,1,0.123243383088,1744123106225,147.119,147.139,147.119,0.02,0.01,0.001,0,0.124,147.243,146.995,TP,1744123376792,146.995,12.4,1,0.063,0.022,0.13,0.022,0.217,0.022,270.567,,1744123106201,1744123105623,1
tstech_discovery_r2_202504_USDCHF_mh_126,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCHF,4836,1744123353250,1744123353574,3,1,0.000560983847,1744123353843,0.85573,0.85598,0.85598,0.00025,0.0001,1e-05,0,0.00057,0.85541,0.85655,COST_DISTANCE_REJECT,0,0,,,0,0.00075,0,0.00093,0,0.00167,,22.001,1744123353574,1744123353075,1
tstech_discovery_r2_202504_GBPUSD_mh_158,-1,-0.14413591156793,-0.39150333213076,-0.14413591156793,GBPUSD,4837,1744123392750,1744123392885,3,1,0.000897860128,1744123392984,1.27691,1.27711,1.27691,0.0002,0.0001,1e-05,0,0.0009,1.27781,1.27601,SL,1744123572520,1.27782,-9.1,-1.011111111111,0,0.0005,0,0.00101,0,0.00153,,179.536,1744123392885,1744123392580,1
tstech_discovery_r2_202504_USDJPY_mh_205,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4840,1744124749750,1744124750792,3,1,0.136529530473,1744124750798,146.774,146.794,146.774,0.02,0.01,0.001,0,0.137,146.911,146.637,TIME,1744125651012,146.844,-6.999999999999,-0.510948905109,0.042,0.03,0.061,0.03,0.091,0.08,,,1744124750792,1744124749597,1
tstech_discovery_r2_202504_GBPUSD_mh_159,1,-0.17652697911591,-0.17652697911591,-0.18011448748955,GBPUSD,4841,1744125080750,1744125082372,3,1,0.000853329621,1744125082489,1.27879,1.27899,1.27899,0.0002,0.0001,1e-05,0,0.00086,1.27813,1.27985,SL,1744125140402,1.27813,-8.600000000001,-1,0,0.00096,0,0.00096,0,0.00184,,57.913,1744125082372,1744125080274,1
tstech_discovery_r2_202504_USDCHF_mh_127,-1,-0.18011448748955,-0.39150333213076,-0.18011448748955,USDCHF,4843,1744125421500,1744125421875,3,1,0.000615423729,1744125422092,0.85339,0.85368,0.85339,0.00029,0.0001,1e-05,0,0.00062,0.85401,0.85277,COST_DISTANCE_REJECT,0,0,,,0,0.00046,0,0.00068,0.00084,0.00068,539.116,173.509,1744125421875,1744125421258,1
tstech_discovery_r2_202504_USDCAD_mh_134,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCAD,4844,1744125554500,1744125555277,3,1,0.000709741712,1744125555294,1.4168,1.41705,1.41705,0.00025,0.0001,1e-05,0,0.00071,1.41634,1.41776,COST_DISTANCE_REJECT,0,0,,,0,0.00026,5e-05,0.00068,5e-05,0.00122,,304.021,1744125555277,1744125554495,1
tstech_discovery_r2_202504_USDJPY_mh_206,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4849,1744125843250,1744125843994,3,1,0.137858374144,1744125844140,146.811,146.831,146.811,0.02,0.01,0.001,0,0.138,146.949,146.673,SL,1744126212509,146.949,-13.800000000001,-1,0.031,0.025,0.072,0.125,0.072,0.17,,368.369,1744125843994,1744125843229,1
tstech_discovery_r2_202504_USDCHF_mh_128,-1,-0.18011448748955,-0.39150333213076,-0.18011448748955,USDCHF,4853,1744126437000,1744126437295,3,1,0.000658555366,1744126437578,0.85295,0.85319,0.85295,0.00024,0.0001,1e-05,0,0.00066,0.85361,0.85229,COST_DISTANCE_REJECT,0,0,,,0.00015,0.00029,0.00063,0.00029,0.00072,0.00029,353.19,,1744126437295,1744126436821,1
tstech_discovery_r2_202504_USDJPY_mh_207,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,4854,1744126918250,1744126918517,3,1,0.144079445962,1744126918812,146.786,146.806,146.786,0.02,0.01,0.001,0,0.145,146.931,146.641,TIME,1744127818866,146.81,-2.4,-0.165517241379,0,0.072,0,0.104,0.077,0.104,,,1744126918517,1744126918108,1
tstech_discovery_r2_202504_USDCHF_mh_129,-1,-0.34903240873589,-0.39150333213076,-0.34903240873589,USDCHF,4856,1744127571250,1744127571635,3,1,0.000709000409,1744127571893,0.85243,0.85266,0.85243,0.00023,0.0001,1e-05,0,0.00071,0.85314,0.85172,SL,1744128413646,0.85315,-7.199999999999,-1.014084507042,0,0.00036,0,0.00052,0,0.00089,,841.753,1744127571635,1744127570869,1
tstech_discovery_r2_202504_USDCAD_mh_135,1,-0.39150333213076,-0.39150333213076,-0.469716604009,USDCAD,4859,1744128336500,1744128337309,3,1,0.00071106033,1744128337309,1.41741,1.41766,1.41766,0.00025,0.0001,1e-05,0,0.00072,1.41694,1.41838,COST_DISTANCE_REJECT,0,0,,,0,0.00057,0,0.00109,0,0.00225,,202.472,1744128337309,1744128336394,1
tstech_discovery_r2_202504_EURUSD_mh_95,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,EURUSD,4861,1744128402750,1744128404852,3,1,0.0007941321,1744128404852,1.09488,1.09506,1.09488,0.00018,0.0001,1e-05,0,0.0008,1.09568,1.09408,TP,1744128550713,1.09408,7.999999999999,1,0.00044,0.00017,0.00081,0.00017,0.00081,0.00059,145.861,,1744128404852,1744128402741,1
tstech_discovery_r2_202504_AUDUSD_mh_83,1,-0.39150333213076,-0.39150333213076,-0.469716604009,AUDUSD,4862,1744128539750,1744128540081,3,1,0.000632381052,1744128540186,0.6066,0.60681,0.60681,0.00021,0.0001,1e-05,0,0.00064,0.60617,0.60745,SL,1744128546112,0.60615,-6.6,-1.03125,0.00018,0.00117,0.00154,0.00117,0.00163,0.00117,77.122,5.926,1744128540081,1744128539581,1
tstech_discovery_r2_202504_USDJPY_mh_208,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,4862,1744128540250,1744128540384,3,1,0.141644358776,1744128540587,146.774,146.794,146.774,0.02,0.01,0.001,0,0.142,146.916,146.632,SL,1744129004237,146.919,-14.500000000001,-1.021126760563,0.026,0.101,0.035,0.128,0.035,0.276,,463.65,1744128540384,1744128540080,1
tstech_discovery_r2_202504_GBPUSD_mh_160,1,-0.17652697911591,-0.17652697911591,-0.469716604009,GBPUSD,4862,1744128541250,1744128541494,3,1,0.000828559328,1744128541794,1.27798,1.27818,1.27818,0.0002,0.0001,1e-05,0,0.00083,1.27735,1.27901,SL,1744128547316,1.27735,-8.299999999999,-1,7e-05,0.00106,0.00066,0.00106,0.0007,0.00106,,5.522,1744128541494,1744128541093,1
tstech_discovery_r2_202504_USDCHF_mh_130,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,USDCHF,4876,1744129376000,1744129376204,3,1,0.000746858774,1744129376454,0.85289,0.85315,0.85315,0.00026,0.0001,1e-05,0,0.00075,0.8524,0.8539,COST_DISTANCE_REJECT,0,0,,,0,0.00042,0,0.00058,0.00112,0.00076,722.603,363.451,1744129376204,1744129375756,1
tstech_discovery_r2_202504_USDJPY_mh_209,-1,0.16623879600843,-0.3462857962514,0.16623879600843,USDJPY,4878,1744129800750,1744129800841,3,1,0.139899807089,1744129801011,147.052,147.068,147.052,0.016,0.01,0.001,0,0.14,147.192,146.912,SL,1744130063011,147.196,-14.400000000001,-1.028571428571,0.041,0.115,0.041,0.193,0.041,0.327,,262,1744129800841,1744129800599,1
