scenario_id,htf_alignment_mode,symbol,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,strict_h4_h1_alignment,EURJPY,time_30min_and_0_5r_break_even,20,7,0.35,71.35999999999999,215.26999999999998,-143.91000000000003,1.495865471475227,3.1204,0.15602,1.516802199440203,110.4,1.104,0.6463768115942027,5,0.25,13,0.65,6,0.3,6,0.3,3,0.15,0.9498249999999999,0.62466
all_first120,strict_h4_h1_alignment,EURUSD,break_even_at_1_0r,24,7,0.2916666666666667,-189.91000000000003,160.92000000000002,-350.83,0.45868369295670275,-8.4782,-0.3532583333333333,0.44996042507363526,217.83,2.1783,-0.8718266538126063,13,0.5416666666666666,3,0.125,0,0.0,4,0.16666666666666666,7,0.2916666666666667,0.5999791666666667,0.8699541666666666
all_first120,strict_h4_h1_alignment,EURUSD,break_even_at_1_1r,24,7,0.2916666666666667,-189.91000000000003,160.92000000000002,-350.83,0.45868369295670275,-8.4782,-0.3532583333333333,0.44996042507363526,217.83,2.1783,-0.8718266538126063,13,0.5416666666666666,3,0.125,0,0.0,4,0.16666666666666666,7,0.2916666666666667,0.5999791666666667,0.8699541666666666
all_first120,strict_h4_h1_alignment,EURUSD,no_break_even,24,7,0.2916666666666667,-193.3,156.26,-349.56,0.4470191097379563,-8.4782,-0.3532583333333333,0.44996042507363526,217.60000000000002,2.176,-0.8883272058823529,13,0.5416666666666666,0,0.0,0,0.0,4,0.16666666666666666,7,0.2916666666666667,0.2889833333333333,0.6422416666666667
all_first120,strict_h4_h1_alignment,EURUSD,time_30min_and_0_5r_break_even,25,6,0.24,-223.54000000000005,133.05,-356.59,0.3731175860231639,-9.926099999999998,-0.39704399999999995,0.3651156097092968,223.54000000000005,2.2354000000000007,-1.0,13,0.52,7,0.28,2,0.08,3,0.12,7,0.28,0.5400480000000001,0.8575839999999999
all_first120,strict_h4_h1_alignment,GBPJPY,break_even_at_1_0r,21,8,0.38095238095238093,-14.129999999999992,197.64,-211.77000000000004,0.9332766680832977,-0.1884999999999999,-0.008976190476190471,0.9787190805739637,91.71,0.9170999999999998,-0.15407262021589785,8,0.38095238095238093,5,0.23809523809523808,2,0.09523809523809523,5,0.23809523809523808,6,0.2857142857142857,0.7874666666666666,0.755252380952381
all_first120,strict_h4_h1_alignment,GBPJPY,break_even_at_1_1r,21,8,0.38095238095238093,12.230000000000015,227.69,-215.46000000000004,1.0567622760605215,0.8654000000000002,0.04120952380952382,1.095743856970582,84.27999999999999,0.8427999999999998,0.14511153298528734,8,0.38095238095238093,4,0.19047619047619047,1,0.047619047619047616,6,0.2857142857142857,6,0.2857142857142857,0.7896523809523809,0.7771761904761905
all_first120,strict_h4_h1_alignment,GBPJPY,no_break_even,21,8,0.38095238095238093,-62.8,226.51000000000002,-289.31,0.782931803256023,-2.4321,-0.11581428571428572,0.8028485270991068,158.13,1.5813000000000001,-0.39714159236071583,9,0.42857142857142855,0,0.0,0,0.0,6,0.2857142857142857,6,0.2857142857142857,0.4716238095238095,0.5874380952380951
all_first120,strict_h4_h1_alignment,GBPJPY,time_30min_and_0_5r_break_even,22,7,0.3181818181818182,-17.389999999999997,191.9,-209.29000000000002,0.9169095513402455,-0.37690000000000046,-0.017131818181818203,0.9570719150777919,94.97,0.9497,-0.18311045593345265,8,0.36363636363636365,10,0.45454545454545453,4,0.18181818181818182,5,0.22727272727272727,5,0.22727272727272727,0.7419454545454546,0.7557818181818181
all_first120,strict_h4_h1_alignment,GBPUSD,break_even_at_1_0r,36,15,0.4166666666666667,-115.00999999999999,286.97999999999996,-401.9899999999999,0.7138983556804896,-5.204899999999999,-0.14458055555555555,0.7016086497890294,177.96999999999997,1.7796999999999996,-0.646232511097376,16,0.4444444444444444,3,0.08333333333333333,2,0.05555555555555555,6,0.16666666666666666,12,0.3333333333333333,0.7342583333333332,0.7781527777777777
all_first120,strict_h4_h1_alignment,GBPUSD,break_even_at_1_1r,36,15,0.4166666666666667,-115.00999999999999,286.97999999999996,-401.9899999999999,0.7138983556804896,-5.204899999999999,-0.14458055555555555,0.7016086497890294,177.96999999999997,1.7796999999999996,-0.646232511097376,16,0.4444444444444444,2,0.05555555555555555,2,0.05555555555555555,6,0.16666666666666666,12,0.3333333333333333,0.7342583333333332,0.7781527777777777
all_first120,strict_h4_h1_alignment,GBPUSD,no_break_even,36,15,0.4166666666666667,-158.58000000000004,284.9,-443.4799999999999,0.6424190493370615,-7.2825999999999995,-0.20229444444444444,0.6269331844330946,219.09000000000003,2.1909000000000005,-0.7238121320005478,18,0.5,0,0.0,0,0.0,6,0.16666666666666666,12,0.3333333333333333,0.33995277777777766,0.5422472222222221
all_first120,strict_h4_h1_alignment,GBPUSD,time_30min_and_0_5r_break_even,38,12,0.3157894736842105,-90.52,282.28,-372.7999999999999,0.7571888412017169,-4.2357000000000005,-0.11146578947368423,0.7387966280425008,157.76999999999998,1.5776999999999999,-0.5737465931419155,15,0.39473684210526316,14,0.3684210526315789,8,0.21052631578947367,6,0.15789473684210525,9,0.23684210526315788,0.7168605263157894,0.7673105263157894
all_first120,strict_h4_h1_alignment,USDJPY,break_even_at_1_0r,57,22,0.38596491228070173,-21.920000000000016,626.26,-648.1799999999998,0.966182233330248,-0.9650999999999992,-0.016931578947368405,0.9657901826225046,214.84,2.1484,-0.10202941724073737,22,0.38596491228070173,17,0.2982456140350877,2,0.03508771929824561,14,0.24561403508771928,19,0.3333333333333333,0.8034228070175439,0.8303245614035086
all_first120,strict_h4_h1_alignment,USDJPY,break_even_at_1_1r,57,24,0.42105263157894735,2.449999999999986,653.9699999999999,-651.52,1.0037604371316304,0.27839999999999987,0.004884210526315787,1.0098752819988932,196.31,1.9630999999999998,0.012480260811980979,22,0.38596491228070173,14,0.24561403508771928,0,0.0,14,0.24561403508771928,21,0.3684210526315789,0.8126684210526316,0.8332842105263156
all_first120,strict_h4_h1_alignment,USDJPY,no_break_even,57,24,0.42105263157894735,1.1899999999999773,646.56,-645.37,1.0018439034972186,0.27839999999999987,0.004884210526315787,1.0098752819988932,197.66,1.9766,0.006020439137913474,22,0.38596491228070173,0,0.0,0,0.0,14,0.24561403508771928,21,0.3684210526315789,0.4994736842105263,0.4945894736842105
