population,tp_atr,max_hold_seconds,max_pre_tp_mae_atr,episodes,clusters,clean_continuation_rate,clean_reversal_rate,either_clean_rate,either_clean_ci_low,either_clean_ci_high,noisy_rate,insufficient_rate
UNSELECTED,0.3,1800,0.2,1598,1522,0.009386733416770964,0.014392991239048811,0.023779724655819776,0.01697045883092395,0.031310176939352244,0.9655819774718398,0.010638297872340425
HIGH_MOVEMENT,0.3,1800,0.25,185,183,0.12972972972972974,0.12432432432432433,0.25405405405405407,0.1945945945945946,0.3191489361702128,0.745945945945946,0.0
UNSELECTED,0.3,1800,0.25,1598,1522,0.028785982478097622,0.031914893617021274,0.0607008760951189,0.04981242555724062,0.07223806377375132,0.9286608260325406,0.010638297872340425
HIGH_MOVEMENT,0.3,1800,0.3,185,183,0.16216216216216217,0.15675675675675677,0.31891891891891894,0.2554347826086957,0.3837837837837838,0.6810810810810811,0.0
UNSELECTED,0.3,1800,0.3,1598,1522,0.05131414267834793,0.05319148936170213,0.10450563204005006,0.09050743385360845,0.11955219061308012,0.8848560700876095,0.010638297872340425
HIGH_MOVEMENT,0.3,1800,0.4,185,183,0.24864864864864866,0.23243243243243245,0.4810810810810811,0.41075559430398145,0.5519588401198657,0.518918918918919,0.0
UNSELECTED,0.3,1800,0.4,1598,1522,0.1032540675844806,0.11389236545682102,0.21714643304130163,0.19774390588612176,0.23758642363293525,0.772215269086358,0.010638297872340425
HIGH_MOVEMENT,0.4,600,0.15,185,183,0.03783783783783784,0.02702702702702703,0.06486486486486487,0.03208556149732621,0.10215053763440861,0.9351351351351351,0.0
UNSELECTED,0.4,600,0.15,1598,1522,0.0018773466833541927,0.004380475594493116,0.006257822277847309,0.0025252126947710547,0.01059190031152648,0.9787234042553191,0.015018773466833541
HIGH_MOVEMENT,0.4,600,0.2,185,183,0.06486486486486487,0.05945945945945946,0.12432432432432433,0.08021390374331551,0.17299647473560506,0.8756756756756757,0.0
UNSELECTED,0.4,600,0.2,1598,1522,0.00688360450563204,0.013141426783479349,0.02002503128911139,0.014267990074441687,0.026843127879887303,0.9649561952440551,0.015018773466833541
HIGH_MOVEMENT,0.4,600,0.25,185,183,0.10270270270270271,0.0972972972972973,0.2,0.14673913043478262,0.2594594594594595,0.8,0.0
UNSELECTED,0.4,600,0.25,1598,1522,0.02065081351689612,0.02753441802252816,0.04818523153942428,0.038337065057951605,0.05853239279291182,0.9367959949937422,0.015018773466833541
