min_trades,rank,enabled_conditions,condition_count,candidates,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_1R_pct,reached_2R_pct,FX net,XAUUSD net,LONG net,SHORT net,symbols_count,periods_count,period_distribution,symbol_distribution,direction_distribution
10,19,cond_h4_fib_382_618;cond_true_bos_level,2,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
10,20,cond_h4_fib_382_618;cond_h1_prev_extreme_break;cond_true_bos_level,3,12,12,50.0,1.79,0.495,240.05,150.46,1.46,1.518,1.135,66.67,50.0,-14.97,255.02,-135.96,376.01,4,3,2025-02:2;2025-08:2;2026-Q1:8,AUDJPY:1;EURUSD:2;USDJPY:6;XAUUSD:3,LONG:5;SHORT:7
20,1,cond_room_to_2r,1,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,2,cond_h1_prev_extreme_break;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,3,cond_h1_counter_wave_atr;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,4,cond_true_bos_level;cond_room_to_2r,2,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,5,cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_room_to_2r,3,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,6,cond_h1_prev_extreme_break;cond_true_bos_level;cond_room_to_2r,3,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,7,cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,3,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
20,8,cond_h1_prev_extreme_break;cond_h1_counter_wave_atr;cond_true_bos_level;cond_room_to_2r,4,24,24,45.83,1.624,0.37,401.55,150.17,1.45,1.431,1.031,54.17,45.83,134.19,267.36,-10.65,412.2,7,4,2025-02:3;2025-08:3;2025-10:3;2026-Q1:15,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:1;GBPUSD:4;USDJPY:8;XAUUSD:6,LONG:9;SHORT:15
