period,variant,scenario,symbol,direction,month,session,regime,is_xauusd,reversal_signal_type,wave_audit_label,sl_mode,reward_r,current_result_R,current_profit,shadow_outcome,shadow_result_R,shadow_profit,tp_hit,sl_hit,same_bar_ambiguous,time_to_tp_minutes,time_to_sl_minutes,mae_R,mfe_R,avg_sl_points,avg_sl_atr,avg_tp_points,avg_tp_atr,hypothetical_lot_size,invalid_stops,sl_too_tight,sl_too_wide,not_enough_money,delta_result_R_vs_current
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,1.5423,64.96000000000001,tp,1.2,50.54,1,0,0,115.0,,0.3452,1.6548,3.9400000000000546,3940000000.0000544,4.7280000000000655,4728000000.000065,0.122,0,0,0,0,-0.3423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,1.5423,64.96000000000001,tp,1.3,54.75,1,0,0,115.0,,0.3452,1.6548,3.9400000000000546,3940000000.0000544,5.122000000000071,5122000000.000071,0.122,0,0,0,0,-0.2423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_16_23,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,1.5423,64.96000000000001,tp,1.5,63.18,1,0,0,115.0,,0.3452,1.6548,3.9400000000000546,3940000000.0000544,5.910000000000082,5910000000.000081,0.122,0,0,0,0,-0.0423
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.2,1.5053,68.16,tp,1.2,54.34,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,6.792000000000371,6792000000.000371,0.08,0,0,0,0,-0.3053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.3,1.5053,68.16,tp,1.3,58.86,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,7.358000000000402,7358000000.0004015,0.08,0,0,0,0,-0.2053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.5,1.5053,68.16,tp,1.5,67.92,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,8.490000000000464,8490000000.0004635,0.08,0,0,0,0,-0.0053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.2,1.5053,68.16,tp,1.2,54.34,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,6.792000000000371,6792000000.000371,0.08,0,0,0,0,-0.3053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.3,1.5053,68.16,tp,1.3,58.86,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,7.358000000000402,7358000000.0004015,0.08,0,0,0,0,-0.2053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,MID_TF_STRUCTURE_SL,1.5,1.5053,68.16,tp,1.5,67.92,1,0,0,25.0,,0.076,1.6007,5.660000000000309,5660000000.000309,8.490000000000464,8490000000.0004635,0.08,0,0,0,0,-0.0053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.2,1.5053,68.16,sl_too_tight,0.0,0.0,0,0,0,,,0.0,0.0,3.2800000000002,3280000000.0002,3.9360000000002398,3936000000.0002394,0.138,0,1,0,0,-1.5053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.3,1.5053,68.16,sl_too_tight,0.0,0.0,0,0,0,,,0.0,0.0,3.2800000000002,3280000000.0002,4.2640000000002605,4264000000.0002604,0.138,0,1,0,0,-1.5053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_00_07,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,LOWER_TF_REVERSAL_SL,1.5,1.5053,68.16,sl_too_tight,0.0,0.0,0,0,0,,,0.0,0.0,3.2800000000002,3280000000.0002,4.9200000000003,4920000000.000299,0.138,0,1,0,0,-1.5053
2025-02,current_thirdwave,ThirdWave_regime_BOTH_all_5m,XAUUSD,LONG,2025-02,server_08_15,REGIME_TREND_UP,XAUUSD,unclear,chasing_entry,CURRENT_SL,1.2,-1.0015,-41.16,sl,-1.0,-41.1,0,1,0,,50.0,1.1511,0.0599,13.699999999999818,13699999999.999817,16.43999999999978,16439999999.99978,0.03,0,0,0,0,0.0015
