period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,retest_quality,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL,failure_type,winning_type
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,immediate_full_false_break,1,0,0.146,1.177,0,0,0,0,,,,30.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,no_retest_break_and_go,0,,2.149,0.304,1,1,1,1,15.0,30.0,475.0,,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2026.01.29 03:05:00,USDJPY,SHORT,-50.76,-1.006,neckline_break_late,no_retest_break_and_go,0,,2.068,0.892,1,1,1,1,0.0,80.0,170.0,,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,unclear,0,,0.11,2.009,0,0,0,0,,,,75.0,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,immediate_full_false_break,1,1,0.433,1.593,0,0,0,0,,,,10.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2026.02.12 18:50:00,USDJPY,SHORT,-50.72,-1.011,neckline_break_late,unclear,0,,0.549,1.466,1,0,0,0,30.0,,,495.0,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,-1.014,neckline_break_late,return_inside_and_fail,1,0,0.694,1.541,1,0,0,0,0.0,,,20.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2026.02.13 16:50:00,EURJPY,SHORT,-50.96,-1.018,neckline_break_late,no_retest_break_and_go,0,,1.348,1.097,1,1,0,0,15.0,335.0,,3865.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,14,2026.02.12 19:20:00,EURUSD,SHORT,96.63,2.005,neckline_break_late,no_retest_break_and_go,0,,2.293,0.678,1,1,1,1,55.0,825.0,6630.0,,,clean_break_and_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,15,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,-1.01,neckline_break_initial,return_inside_and_fail,1,1,0.617,1.261,1,0,0,0,55.0,,,75.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,16,2026.02.23 17:35:00,EURUSD,LONG,-47.79,-1.0,neckline_break_late,immediate_full_false_break,1,0,0.333,1.099,0,0,0,0,,,,15.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,17,2026.02.26 09:35:00,USDJPY,LONG,-47.63,-1.014,neckline_break_late,return_inside_and_fail,1,3,0.586,1.32,1,0,0,0,390.0,,,430.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,18,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,-1.011,neckline_break_initial,immediate_full_false_break,1,0,0.208,1.408,0,0,0,0,,,,80.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,19,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,-1.01,neckline_break_initial,no_retest_break_and_go,0,,1.459,1.245,1,1,0,0,50.0,340.0,,650.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,20,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,-1.003,clean_nested_nwave_entry,deep_retest_but_reclaim,1,6,1.978,1.127,1,1,1,0,20.0,950.0,,3130.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,21,2026.03.11 17:35:00,EURUSD,LONG,-47.52,-1.008,neckline_break_late,immediate_full_false_break,1,0,0.382,1.076,0,0,0,0,,,,35.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,22,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,-1.004,neckline_break_initial,return_inside_and_fail,1,4,0.496,1.232,0,0,0,0,,,,45.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,23,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,-1.043,neckline_break_late,no_retest_break_and_go,0,,1.146,1.274,1,1,0,0,20.0,35.0,,130.0,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,24,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,2.004,neckline_break_late,no_retest_break_and_go,0,,2.053,0.162,1,1,1,1,40.0,55.0,125.0,,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,25,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,-1.035,chasing_after_break,return_inside_and_fail,1,6,0.0,1.133,0,0,0,0,,,,70.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,26,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,-1.0,chasing_after_break,deep_retest_but_reclaim,1,8,1.622,2.546,1,1,1,0,5.0,30.0,,195.0,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,27,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,-1.073,clean_nested_nwave_entry,deep_retest_but_reclaim,1,8,1.019,1.812,1,1,0,0,195.0,210.0,,315.0,false_breakout,
