period,variant,month,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-02,25,13,12,52.0,297.05,1.525,11.88,0.141,367.63,3.45,5,-232.91,137.02,160.03,-69.85,366.9,84.0,40.0,2.388,2.866,0.0419,0.3723,64.54,2.354,0.052,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-03,23,13,10,56.52,266.02,1.516,11.57,0.245,190.54,1.83,3,-130.88,209.77,56.25,192.76,73.26,78.26,21.74,2.244,2.693,0.0629,0.3938,58.22,2.355,0.105,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-04,17,7,10,41.18,-92.17,0.825,-5.42,-0.076,318.67,3.13,6,-318.67,-82.16,-10.01,-219.15,126.98,76.47,58.82,2.528,3.034,0.0839,0.4954,48.68,2.559,0.106,0.39
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-05,34,13,21,38.24,-350.48,0.693,-10.31,-0.197,366.96,3.66,6,-313.24,-53.85,-296.63,-71.71,-278.77,97.06,26.47,2.496,2.995,0.0669,0.3922,57.48,2.386,0.062,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,2026-06,3,2,1,66.67,66.39,2.246,22.13,0.463,53.3,0.53,1,-53.3,0,66.39,0,66.39,100.0,0.0,2.053,2.464,0.0645,0.3392,48.81,2.467,0.063,0.1
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-01,20,15,5,75.0,796.17,4.243,39.81,0.829,125.06,1.18,2,-125.06,212.13,584.04,172.09,624.08,75.0,50.0,2.338,3.039,0.0614,0.4521,52.82,2.397,0.087,0.43
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-02,25,13,12,52.0,382.27,1.694,15.29,0.191,377.82,3.51,5,-247.04,151.82,230.45,-68.47,450.74,84.0,40.0,2.353,3.059,0.042,0.3735,64.54,2.327,0.052,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-03,22,11,11,50.0,146.3,1.252,6.65,0.153,185.99,1.81,3,-132.39,106.1,40.2,218.1,-71.8,77.27,22.73,2.278,2.961,0.0638,0.3914,56.97,2.332,0.108,0.61
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-04,18,7,11,38.89,-122.23,0.788,-6.79,-0.101,333.5,3.27,6,-333.5,-82.16,-40.07,-226.3,104.07,77.78,55.56,2.407,3.129,0.0822,0.4972,52.18,2.431,0.103,0.39
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-05,34,11,23,32.35,-497.89,0.587,-14.64,-0.3,497.89,4.98,6,-307.67,-53.85,-444.04,-163.09,-334.8,97.06,26.47,2.496,3.245,0.0669,0.3922,57.48,2.386,0.061,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,2026-06,3,2,1,66.67,80.22,2.505,26.74,0.558,53.3,0.53,1,-53.3,0,80.22,0,80.22,100.0,0.0,2.053,2.669,0.0645,0.3392,48.81,2.467,0.063,0.1
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-01,27,18,9,66.67,827.03,2.889,30.63,0.564,161.15,1.54,3,-140.61,108.6,718.43,172.09,654.94,74.07,37.04,2.263,2.942,0.0642,0.4111,55.78,2.344,0.099,0.48
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-02,25,12,13,48.0,184.66,1.309,7.39,0.099,343.31,3.26,5,-232.93,147.83,36.83,-54.36,239.02,84.0,40.0,2.375,3.087,0.042,0.3604,64.75,2.306,0.051,0.4
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-03,31,15,16,48.39,188.42,1.236,6.08,0.116,200.5,1.96,4,-200.5,143.51,44.91,211.5,-23.08,70.97,16.13,2.259,2.936,0.0756,0.3657,56.37,2.248,0.137,1.0
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-04,21,8,13,38.1,-179.49,0.733,-8.55,-0.122,378.45,3.71,6,-319.89,-131.05,-48.44,-207.91,28.42,76.19,47.62,2.42,3.145,0.0827,0.5116,47.67,2.533,0.114,0.51
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-05,40,14,26,35.0,-435.86,0.673,-10.9,-0.234,435.86,4.36,5,-253.57,-52.75,-383.11,-163.09,-272.77,97.5,22.5,2.398,3.117,0.0655,0.4049,55.61,2.312,0.058,0.26
2026YTD,v4_without_weak_lower_tf_sl_1_3R,2026-06,3,2,1,66.67,90.13,3.256,30.04,0.542,39.95,0.39,1,-39.95,0,90.13,0,90.13,100.0,0.0,2.593,3.371,0.0487,0.3669,48.08,2.497,0.04,0.07
