time,event,symbol,direction,session,order_retcode,order_comment,strategy_name,label,fail_reason,execution_block_reason,fib_zone,h4_trend_state,h1_counter_trend_state,neckline_break_label,entry_price,sl,tp,volume,risk_r,rr,sl_points,sl_atr,tp_points,tp_atr,neckline_price,neckline_break_close_price,right_side_level,bars_since_right_side,distance_neckline_to_entry_atr,distance_right_side_to_entry_atr,spread_atr,spread_points,quality_score
2026.01.29 06:04:59,order_blocked,USDJPY,SHORT,server_00_07,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,152.928,153.193,152.398,0.28,0.265,2.00,265.0,1.72,530.0,3.44,153.023,152.919,153.173,4,0.62,1.59,0.1299,20.0,67.74
2026.01.30 01:49:59,order_attempt,XAUUSD,LONG,server_00_07,0,,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,5443.19,5372.90,5583.77,0.01,70.29,2.00,7029.0,1.90,14058.0,3.80,5426.14,5438.27,5374.75,4,0.46,1.85,0.0057,21.0,97.97
2026.01.30 01:49:59,order_sent,XAUUSD,LONG,server_00_07,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_initial,,,valid_h4_pullback_zone,bullish_nwave,bearish_counter_nwave,neckline_break_initial,5443.19,5372.90,5583.77,0.01,70.29,2.00,7029.0,1.90,14058.0,3.80,5426.14,5438.27,5374.75,4,0.46,1.85,0.0057,21.0,97.97
2026.02.03 13:49:59,order_attempt,XAUUSD,SHORT,server_08_15,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,4906.75,4924.98,4870.29,0.02,18.23,2.00,1823.0,0.92,3646.0,1.85,4914.14,4909.49,4923.99,4,0.37,0.87,0.0101,20.0,71.27
2026.02.03 13:49:59,order_sent,XAUUSD,SHORT,server_08_15,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,4906.75,4924.98,4870.29,0.02,18.23,2.00,1823.0,0.92,3646.0,1.85,4914.14,4909.49,4923.99,4,0.37,0.87,0.0101,20.0,71.27
2026.02.12 18:49:59,order_attempt,USDJPY,SHORT,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,152.728,153.076,152.032,0.21,0.348,2.00,348.0,1.45,696.0,2.89,152.828,152.729,153.055,5,0.42,1.36,0.0872,21.0,70.12
2026.02.12 18:49:59,order_sent,USDJPY,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,152.728,153.076,152.032,0.21,0.348,2.00,348.0,1.45,696.0,2.89,152.828,152.729,153.055,5,0.42,1.36,0.0872,21.0,70.12
2026.02.12 19:04:59,order_blocked,USDJPY,SHORT,server_16_23,0,existing_position,Nested_NWave_NecklineBreak,neckline_break_late,existing_position,existing_position,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,152.724,153.076,152.020,0.21,0.352,2.00,352.0,1.50,704.0,2.99,152.828,152.645,153.055,6,0.44,1.41,0.0892,21.0,67.80
2026.02.12 19:20:00,order_attempt,EURUSD,SHORT,server_16_23,0,,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.18705,1.18910,1.18295,0.23,0.00205,2.00,205.0,2.07,410.0,4.14,1.18770,1.18654,1.18891,5,0.66,1.88,0.1921,19.0,69.61
2026.02.12 19:20:00,order_sent,EURUSD,SHORT,server_16_23,10009,order_sent,Nested_NWave_NecklineBreak,neckline_break_late,,,valid_h4_pullback_zone,bearish_nwave,bullish_counter_nwave,neckline_break_late,1.18705,1.18910,1.18295,0.23,0.00205,2.00,205.0,2.07,410.0,4.14,1.18770,1.18654,1.18891,5,0.66,1.88,0.1921,19.0,69.61
