variant,reward_r,wave_audit_label,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
v4_without_weak_signals,1.3,chasing_entry,144,144,72,72,50.0,1368.33,1.384,9.5,0.15,487.77,4.16,50.0,49.31,0,0,0,0,0.786,1.045,16882927430.556,21947805659.722,0.117
v4_without_weak_signals,1.3,late_entry,7,7,4,3,57.14,98.46,1.681,14.07,0.314,97.47,0.97,57.14,42.86,0,0,0,0,0.827,1.212,15196428571.429,19755357142.857,0.077
v4_without_weak_signals,1.3,third_wave_initial,6,6,4,2,66.67,155.0,2.491,25.83,0.533,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.439,2386833333.333,3102883333.333,0.38
v4_without_weak_signals,1.3,third_wave_middle,6,6,5,1,83.33,295.38,8.621,49.23,0.917,38.76,0.39,83.33,16.67,0,0,0,0,0.58,1.534,5003915000.0,6505089500.0,0.257
v4_without_weak_signals,1.3,unclear,3,3,0,3,0.0,-146.78,0.0,-48.93,-1.0,146.78,1.47,0.0,100.0,0,0,0,0,1.156,0.554,2290000000.0,2977000000.0,0.283
v4_without_weak_signals,1.5,chasing_entry,144,144,70,74,48.61,1896.54,1.519,13.17,0.215,461.21,3.8,48.61,50.69,0,0,0,0,0.798,1.131,16882927430.556,25324391145.833,0.117
v4_without_weak_signals,1.5,late_entry,7,7,4,3,57.14,135.84,1.939,19.41,0.429,97.47,0.97,57.14,42.86,0,0,0,0,0.827,1.343,15196428571.429,22794642857.143,0.077
v4_without_weak_signals,1.5,third_wave_initial,6,6,4,2,66.67,194.84,2.874,32.47,0.667,54.32,0.53,66.67,33.33,0,0,0,0,0.652,1.439,2386833333.333,3580250000.0,0.38
v4_without_weak_signals,1.5,third_wave_middle,6,6,4,2,66.67,217.25,3.399,36.21,0.667,51.81,0.51,66.67,33.33,0,0,0,0,0.61,1.556,5003915000.0,7505872500.0,0.257
v4_without_weak_signals,1.5,unclear,3,3,0,3,0.0,-146.78,0.0,-48.93,-1.0,146.78,1.47,0.0,100.0,0,0,0,0,1.156,0.554,2290000000.0,3435000000.0,0.283
