enabled_conditions,condition_count,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
cond_room_to_2r,1,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
cond_h1_prev_extreme_break+cond_room_to_2r,2,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
cond_true_bos_level+cond_room_to_2r,2,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
cond_h1_prev_extreme_break+cond_true_bos_level+cond_room_to_2r,3,28,35.71,1.121,0.079,109.03,297.25,2.87,1.33,1.076,75.0,57.14,35.71,11,17,60.79,48.24,0.109,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:4;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:3;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:11;SHORT:17
cond_h4_bias_ma+cond_m15_prev_extreme_bos+cond_room_to_2r,3,17,35.29,1.076,0.056,42.12,200.49,1.97,1.392,1.13,82.35,70.59,35.29,7,10,-52.0,94.12,-0.148,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:7;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_m15_prev_extreme_bos+cond_room_to_2r,4,17,35.29,1.076,0.056,42.12,200.49,1.97,1.392,1.13,82.35,70.59,35.29,7,10,-52.0,94.12,-0.148,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:7;SHORT:10
cond_h4_bias_ma+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,4,17,35.29,1.076,0.056,42.12,200.49,1.97,1.392,1.13,82.35,70.59,35.29,7,10,-52.0,94.12,-0.148,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:7;SHORT:10
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,17,35.29,1.076,0.056,42.12,200.49,1.97,1.392,1.13,82.35,70.59,35.29,7,10,-52.0,94.12,-0.148,0.199,5,8,AUDJPY:1;EURJPY:1;EURUSD:3;GBPJPY:2;USDJPY:10,2025-01:3;2025-02:2;2025-03:1;2025-04:3;2025-06:1;2025-07:3;2025-09:2;2025-11:2,LONG:7;SHORT:10
cond_h1_counter_wave_atr+cond_room_to_2r,2,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,3,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,4,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_h1_prev_extreme_break+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,26,34.62,1.071,0.045,60.61,246.21,2.4,1.342,1.105,76.92,57.69,34.62,9,17,12.37,48.24,0.018,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:3;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:4;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:9;SHORT:17
cond_m15_prev_extreme_bos+cond_room_to_2r,2,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
cond_h1_prev_extreme_break+cond_m15_prev_extreme_bos+cond_room_to_2r,3,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,3,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
cond_h1_prev_extreme_break+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,4,27,33.33,1.011,0.006,9.57,297.25,2.9,1.302,1.109,74.07,55.56,33.33,10,17,-38.67,48.24,-0.085,0.059,6,10,AUDJPY:1;EURJPY:3;EURUSD:4;GBPJPY:3;GBPUSD:3;USDJPY:13,2025-01:4;2025-02:2;2025-03:2;2025-04:6;2025-06:1;2025-07:5;2025-08:1;2025-09:3;2025-10:1;2025-11:2,LONG:10;SHORT:17
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave,3,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave,4,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr,4,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level,4,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr,5,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level,5,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level,5,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level,6,9,33.33,1.008,-0.001,2.44,193.59,1.9,1.353,1.15,66.67,55.56,33.33,3,6,148.78,-146.34,1.002,-0.503,5,6,EURJPY:1;EURUSD:1;GBPJPY:1;GBPUSD:1;USDJPY:5,2025-01:3;2025-02:1;2025-03:1;2025-04:1;2025-06:2;2025-11:1,LONG:3;SHORT:6
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_m15_prev_extreme_bos,4,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_m15_prev_extreme_bos,5,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos,5,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos,5,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos,6,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos,6,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos,6,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h4_fib_382_618+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos,7,6,33.33,1.005,-0.002,1.03,101.63,1.01,1.483,1.258,83.33,66.67,33.33,1,5,100.7,-99.67,2.005,-0.403,3,4,GBPJPY:1;GBPUSD:1;USDJPY:4,2025-01:3;2025-02:1;2025-04:1;2025-06:1,LONG:1;SHORT:5
cond_h4_bias_ma+cond_h1_counter_nwave+cond_room_to_2r,3,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_room_to_2r,4,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,4,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,4,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,4,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,5,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_room_to_2r,6,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_m15_prev_extreme_bos+cond_room_to_2r,6,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,6,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h4_bias_ma+cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_true_bos_level+cond_m15_prev_extreme_bos+cond_room_to_2r,7,13,30.77,0.886,-0.081,-51.64,255.05,2.5,1.335,1.178,84.62,69.23,30.77,4,9,-45.14,-6.5,-0.255,-0.004,5,8,AUDJPY:1;EURJPY:1;EURUSD:1;GBPJPY:2;USDJPY:8,2025-01:3;2025-02:2;2025-03:1;2025-04:2;2025-06:1;2025-07:2;2025-09:1;2025-11:1,LONG:4;SHORT:9
cond_h1_counter_nwave+cond_room_to_2r,2,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
cond_h1_prev_extreme_break+cond_h1_counter_nwave+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
cond_h1_counter_nwave+cond_h1_counter_wave_atr+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
cond_h1_counter_nwave+cond_true_bos_level+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
cond_h1_counter_nwave+cond_m15_prev_extreme_bos+cond_room_to_2r,3,20,30.0,0.88,-0.093,-84.11,244.89,2.41,1.232,1.117,75.0,55.0,30.0,7,13,-31.81,-52.3,-0.12,-0.079,6,10,AUDJPY:1;EURJPY:3;EURUSD:1;GBPJPY:2;GBPUSD:2;USDJPY:11,2025-01:4;2025-02:2;2025-03:2;2025-04:3;2025-06:1;2025-07:3;2025-08:1;2025-09:2;2025-10:1;2025-11:1,LONG:7;SHORT:13
