period,run,scenario,trade_index,open_time,close_time,symbol,direction,net_profit,final_result_R,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,time_to_SL,would_1R_take_profit_help,would_1_5R_take_profit_help,would_2R_take_profit_work,did_price_reverse_after_1R,did_price_reverse_after_1_5R,mfe_bucket,failure_type,winning_type
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2026.01.16 15:35:00,2026.01.16 17:39:05,GBPUSD,SHORT,99.94,2.039,2.69,0.566,1,1,1,1,0,100.0,105.0,110.0,120.0,,,0,0,1,0,0,2R+,,retest_then_go
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2026.01.16 18:05:00,2026.01.19 01:43:29,GBPUSD,SHORT,-48.94,-1.005,1.864,1.077,1,1,1,0,0,3235.0,3235.0,3235.0,,,3335.0,1,1,0,1,1,1.5-2R,target_too_far,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2026.01.21 16:05:00,2026.01.21 21:31:09,GBPUSD,LONG,-47.96,-1.0,1.22,1.032,1,1,0,0,0,25.0,35.0,,,,325.0,1,0,0,1,0,1-1.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2026.01.28 13:05:00,2026.01.28 13:08:17,GBPUSD,LONG,-49.28,-1.0,0.0,1.013,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2026.01.28 20:05:00,2026.01.28 20:38:13,GBPUSD,LONG,-48.0,-1.0,0.146,1.177,0,0,0,0,0,,,,,,30.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2026.01.29 01:05:00,2026.01.29 09:03:55,EURUSD,LONG,98.55,2.017,2.149,0.304,1,1,1,1,0,15.0,30.0,85.0,475.0,,,0,0,1,0,0,2R+,,retest_then_go
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2026.01.30 01:50:00,2026.01.30 03:07:19,XAUUSD,LONG,-70.76,-1.007,0.11,2.009,0,0,0,0,0,,,,,,75.0,0,0,0,0,0,<0.5R,no_follow_through,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2026.02.03 13:50:00,2026.02.03 14:00:55,XAUUSD,SHORT,-36.92,-1.013,0.433,1.593,0,0,0,0,0,,,,,,10.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2026.02.12 18:50:00,2026.02.13 03:05:06,USDJPY,SHORT,-53.13,-1.011,0.549,1.466,1,0,0,0,0,30.0,,,,,495.0,0,0,0,0,0,0.5-1R,late_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2026.02.13 16:50:00,2026.02.13 17:10:40,GBPJPY,SHORT,-48.41,-1.014,0.694,1.541,1,0,0,0,0,0.0,,,,,20.0,0,0,0,0,0,0.5-1R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2026.02.13 17:20:00,2026.02.16 09:17:13,EURJPY,SHORT,-50.4,-1.02,1.717,1.113,1,1,1,0,0,20.0,25.0,395.0,,,3835.0,1,1,0,1,1,1.5-2R,target_too_far,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,13,2026.02.18 12:50:00,2026.02.18 14:07:13,XAUUSD,SHORT,-42.56,-1.01,0.617,1.261,1,0,0,0,0,55.0,,,,,75.0,0,0,0,0,0,0.5-1R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,14,2026.02.23 17:35:00,2026.02.23 17:52:41,EURUSD,LONG,-47.79,-1.0,0.333,1.099,0,0,0,0,0,,,,,,15.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,15,2026.02.26 09:35:00,2026.02.26 16:46:26,USDJPY,LONG,-47.63,-1.014,0.586,1.32,1,0,0,0,0,390.0,,,,,430.0,0,0,0,0,0,0.5-1R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,16,2026.02.27 12:35:00,2026.02.27 13:55:08,XAUUSD,SHORT,-46.2,-1.011,0.208,1.408,0,0,0,0,0,,,,,,80.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,17,2026.03.02 21:20:00,2026.03.03 08:14:13,XAUUSD,LONG,-38.35,-1.01,1.459,1.245,1,1,0,0,0,50.0,340.0,,,,650.0,1,0,0,1,0,1-1.5R,target_too_far,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,18,2026.03.04 14:35:00,2026.03.06 18:43:56,GBPUSD,SHORT,-47.82,-1.003,1.978,1.127,1,1,1,0,0,20.0,950.0,1040.0,,,3130.0,1,1,0,1,1,1.5-2R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,19,2026.03.11 17:35:00,2026.03.11 18:14:56,EURUSD,LONG,-46.2,-1.008,0.382,1.076,0,0,0,0,0,,,,,,35.0,0,0,0,0,0,<0.5R,false_breakout,
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,20,2026.03.18 20:50:00,2026.03.18 21:39:53,GBPUSD,LONG,-45.8,-1.004,0.496,1.232,0,0,0,0,0,,,,,,45.0,0,0,0,0,0,<0.5R,false_breakout,
