period,scenario,trade_index,open_time,symbol,direction,net_profit,label,breakout_close_strength_raw,close_position_in_bar_raw,close_position_in_bar_low_side_raw,breakout_close_strength_directional,close_position_in_bar_directional,directional_strength_pass_0_60,retest_quality,failure_type,winning_type
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2026.02.12 18:50:00,USDJPY,SHORT,-50.72,neckline_break_late,0.408,0.408,0.592,0.592,0.592,0,unclear,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,neckline_break_late,0.409,0.409,0.591,0.591,0.591,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2026.02.13 16:50:00,EURJPY,SHORT,-50.96,neckline_break_late,0.252,0.252,0.748,0.748,0.748,1,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,14,2026.02.12 19:20:00,EURUSD,SHORT,96.63,neckline_break_late,0.57,0.57,0.43,0.43,0.43,0,no_retest_break_and_go,,clean_break_and_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,15,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,neckline_break_initial,0.583,0.583,0.417,0.417,0.417,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,16,2026.02.23 17:35:00,EURUSD,LONG,-47.79,neckline_break_late,0.0,0.0,1.0,0.0,0.0,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,17,2026.02.26 09:35:00,USDJPY,LONG,-47.63,neckline_break_late,0.027,0.027,0.973,0.027,0.027,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,18,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,neckline_break_initial,0.01,0.01,0.99,0.99,0.99,1,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,19,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,neckline_break_initial,0.51,0.51,0.49,0.51,0.51,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,20,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,clean_nested_nwave_entry,0.952,0.952,0.048,0.048,0.048,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,21,2026.03.11 17:35:00,EURUSD,LONG,-47.52,neckline_break_late,0.232,0.232,0.768,0.232,0.232,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,22,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,neckline_break_initial,0.014,0.014,0.986,0.014,0.014,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,23,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,neckline_break_late,0.55,0.55,0.45,0.45,0.45,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,24,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,neckline_break_late,0.237,0.237,0.763,0.763,0.763,1,no_retest_break_and_go,,strong_body_breakout
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,25,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,chasing_after_break,0.017,0.017,0.983,0.017,0.017,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,26,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,chasing_after_break,0.588,0.588,0.412,0.588,0.588,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,27,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,clean_nested_nwave_entry,0.677,0.677,0.323,0.677,0.677,1,deep_retest_but_reclaim,false_breakout,
