period,run,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,winning_type,failure_type,neckline_price,neckline_source_type,neckline_touch_count,neckline_age_bars,neckline_range_points,neckline_range_atr,right_shoulder_or_right_bottom_distance_points,right_shoulder_or_right_bottom_distance_atr,entry_close_distance_from_neckline_points,entry_close_distance_from_neckline_atr,breakout_body_points,breakout_body_atr,breakout_body_ratio,breakout_wick_ratio,breakout_close_strength,close_position_in_bar,breakout_volume_proxy,bars_since_pattern_completed,bars_since_neckline_defined,bars_since_counter_trend_nwave_completed,immediate_retest_within_4_bars,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,-1.0,neckline_break_late,,false_breakout,1.34267,double_bottom,7,3,151.0,1.495,151.0,1.495,52.0,0.515,107.0,1.059,0.823,0.177,0.062,0.062,1088,3,3,3,1,1,2,1.22,1.032,1,1,0,0,25.0,35.0,,325.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,-1.0,neckline_break_late,,false_breakout,1.37917,double_bottom,17,3,161.0,1.298,161.0,1.298,103.0,0.831,126.0,1.016,0.984,0.016,0.0,0.0,784,3,3,3,0,1,0,0.0,1.013,0,0,0,0,,,,0.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,-1.0,clean_nested_nwave_entry,,false_breakout,1.37869,double_bottom,47,3,155.0,0.824,155.0,0.824,19.0,0.101,16.0,0.085,0.348,0.652,0.457,0.457,669,3,3,3,1,1,0,0.146,1.177,0,0,0,0,,,,30.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,2.017,neckline_break_late,retest_then_go,,1.19521,double_bottom,27,6,113.0,1.119,113.0,1.119,48.0,0.475,8.0,0.079,0.381,0.619,0.857,0.857,194,6,6,6,1,0,,2.149,0.304,1,1,1,1,15.0,30.0,475.0,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2026.01.29 03:05:00,USDJPY,SHORT,-50.76,-1.006,neckline_break_late,,late_breakout,153.313,double_top,19,8,100.0,0.699,100.0,0.699,56.0,0.392,172.0,1.203,0.873,0.127,0.02,0.02,1160,8,8,8,1,0,,2.068,0.892,1,1,1,1,0.0,80.0,170.0,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,-1.007,neckline_break_initial,,no_follow_through,5426.14,double_bottom,9,4,5139.0,1.39,5139.0,1.39,1705.0,0.461,474.0,0.128,0.793,0.207,0.846,0.846,2584,4,4,4,0,0,,0.11,2.009,0,0,0,0,,,,75.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,-1.013,neckline_break_late,,false_breakout,4914.14,double_top,29,4,985.0,0.499,985.0,0.499,739.0,0.374,277.0,0.14,0.33,0.67,0.999,0.999,2230,4,4,4,1,1,1,0.433,1.593,0,0,0,0,,,,10.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2026.02.12 18:50:00,USDJPY,SHORT,-50.72,-1.011,neckline_break_late,,late_breakout,152.828,double_top,29,5,227.0,0.942,227.0,0.942,100.0,0.415,1.0,0.004,0.013,0.987,0.592,0.592,1335,5,5,5,0,0,,0.549,1.466,1,0,0,0,30.0,,,495.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,-1.014,neckline_break_late,,false_breakout,208.452,double_top,32,3,321.0,1.529,321.0,1.529,78.0,0.371,98.0,0.467,0.405,0.595,0.591,0.591,1773,3,3,3,1,1,0,0.694,1.541,1,0,0,0,0.0,,,20.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2026.02.13 16:50:00,EURJPY,SHORT,-50.96,-1.018,neckline_break_late,,target_too_far,181.674,double_top,29,7,186.0,1.177,186.0,1.177,123.0,0.778,30.0,0.19,0.252,0.748,0.748,0.748,702,7,7,7,1,0,,1.348,1.097,1,1,0,0,15.0,335.0,,3865.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,14,2026.02.12 19:20:00,EURUSD,SHORT,96.63,2.005,neckline_break_late,clean_break_and_go,,1.1877,double_top,51,5,121.0,1.222,121.0,1.222,65.0,0.657,52.0,0.525,0.559,0.441,0.43,0.43,736,5,5,5,0,0,,2.293,0.678,1,1,1,1,55.0,825.0,6630.0,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,15,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,-1.01,neckline_break_initial,,false_breakout,4913.03,double_top,10,6,1004.0,1.353,1004.0,1.353,12.0,0.016,78.0,0.105,0.479,0.521,0.417,0.417,1046,6,6,6,1,1,1,0.617,1.261,1,0,0,0,55.0,,,75.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,16,2026.02.23 17:35:00,EURUSD,LONG,-47.79,-1.0,neckline_break_late,,false_breakout,1.18023,double_bottom,11,3,86.0,1.178,86.0,1.178,18.0,0.247,35.0,0.479,0.603,0.397,0.0,0.0,632,3,3,3,1,1,0,0.333,1.099,0,0,0,0,,,,15.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,17,2026.02.26 09:35:00,USDJPY,LONG,-47.63,-1.014,neckline_break_late,,false_breakout,156.063,double_bottom,20,3,151.0,1.198,151.0,1.198,50.0,0.397,54.0,0.429,0.73,0.27,0.027,0.027,426,3,3,3,1,1,3,0.586,1.32,1,0,0,0,390.0,,,430.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,18,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,-1.011,neckline_break_initial,,false_breakout,5174.29,double_top,19,3,837.0,1.22,837.0,1.22,271.0,0.395,186.0,0.271,0.386,0.614,0.99,0.99,1947,3,3,3,1,1,0,0.208,1.408,0,0,0,0,,,,80.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,19,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,-1.01,neckline_break_initial,,target_too_far,5320.68,double_bottom,9,5,3107.0,1.353,3107.0,1.353,494.0,0.215,520.0,0.226,0.395,0.605,0.51,0.51,2639,5,5,5,0,0,,1.459,1.245,1,1,0,0,50.0,340.0,,650.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,20,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,-1.003,clean_nested_nwave_entry,,false_breakout,1.33705,double_top,18,5,318.0,1.871,318.0,1.871,24.0,0.141,38.0,0.224,0.613,0.387,0.048,0.048,802,5,5,5,0,1,6,1.978,1.127,1,1,1,0,20.0,950.0,,3130.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,21,2026.03.11 17:35:00,EURUSD,LONG,-47.52,-1.008,neckline_break_late,,false_breakout,1.15912,double_bottom,23,3,139.0,1.178,139.0,1.178,21.0,0.178,45.0,0.381,0.402,0.598,0.232,0.232,984,3,3,3,1,1,0,0.382,1.076,0,0,0,0,,,,35.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,22,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,-1.004,neckline_break_initial,,false_breakout,1.33365,double_bottom,16,8,191.0,1.769,191.0,1.769,19.0,0.176,8.0,0.074,0.113,0.887,0.014,0.014,787,8,8,8,1,1,4,0.496,1.232,0,0,0,0,,,,45.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,23,2026.03.20 09:05:00,XAUUSD,SHORT,-30.59,-1.043,neckline_break_late,,target_too_far,4710.51,double_top,5,3,1304.0,0.952,1304.0,0.952,1560.0,1.139,655.0,0.478,0.482,0.518,0.45,0.45,3005,3,3,3,0,0,,1.146,1.274,1,1,0,0,20.0,35.0,,130.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,24,2026.03.20 11:50:00,XAUUSD,SHORT,57.29,2.004,neckline_break_late,strong_body_breakout,,4710.51,double_top,11,14,1304.0,0.773,1304.0,0.773,1471.0,0.872,1154.0,0.684,0.708,0.292,0.763,0.763,2649,14,14,14,0,0,,2.053,0.162,1,1,1,1,40.0,55.0,125.0,
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,25,2026.03.24 11:20:00,GBPUSD,LONG,-47.36,-1.035,chasing_after_break,,false_breakout,1.3394,simplified_pattern,34,13,91.0,0.684,91.0,0.684,177.0,1.331,75.0,0.564,0.63,0.37,0.017,0.017,1030,13,13,13,0,1,6,0.0,1.133,0,0,0,0,,,,70.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,26,2026.03.24 12:50:00,GBPUSD,LONG,-46.41,-1.0,chasing_after_break,,false_breakout,1.3394,simplified_pattern,45,19,91.0,0.595,91.0,0.595,10.0,0.065,12.0,0.078,0.235,0.765,0.588,0.588,698,19,19,19,1,1,8,1.622,2.546,1,1,1,0,5.0,30.0,,195.0
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,27,2026.03.26 14:05:00,XAUUSD,LONG,-34.93,-1.073,clean_nested_nwave_entry,,false_breakout,4440.09,double_bottom,23,6,2557.0,1.417,2557.0,1.417,607.0,0.336,216.0,0.12,0.259,0.741,0.677,0.677,2814,6,6,6,1,1,8,1.019,1.812,1,1,0,0,195.0,210.0,,315.0
