trade_index,time,close_time,symbol,direction,month,session,entry_price,close_price,sl,tp,result_R,net_profit,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_room_to_2r,cond_h4_dow_bias,cond_m15_close_bos,cond_room_to_1r,cond_sl_atr_ok
53,2025.10.10 11:05:00,2025.10.10 12:01:32,EURJPY,LONG,2025-10,server_08_15,177.067,176.714,176.715,177.771,-1.003,-47.55,USDJPY,0.02,1.057,false,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.16,weak_lower_high,177.143,m15_prev_extreme_bos,0.22,0.11,h1_counter_high,177.143,2.09,0.0,0.45,condition_factorial_candidate,true,false,true,false,true,true,true,false,true,false,false,true
54,2025.10.17 19:35:00,2025.10.20 10:06:02,GBPUSD,LONG,2025-10,server_16_23,1.34288,1.34081,1.34082,1.347,-1.005,-47.82,USDJPY,0.65,1.17,true,false,false,none,ma_bias_fail,dow_bias_pass,unknown,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.08,last_lower_high,1.34422,m15_prev_extreme_bos,2.03,1.01,h1_counter_high,1.34706,1.9,0.0,1.24,condition_factorial_candidate,false,false,true,true,true,true,true,true,true,false,true,true
55,2025.10.30 08:20:00,2025.11.04 07:41:15,AUDJPY,LONG,2025-10,server_08_15,100.648,100.2,100.204,101.536,-1.009,-47.38,USDJPY,1.245,1.252,true,true,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.02,last_lower_high,100.585,m15_true_bos_close,0.21,0.1,h1_counter_high,100.741,2.18,0.0,0.31,condition_factorial_candidate,true,false,true,true,true,true,false,false,true,true,false,true
56,2025.11.05 05:35:00,2025.11.05 08:19:25,EURJPY,SHORT,2025-11,server_00_07,176.242,176.557,176.557,175.612,-1.0,-46.67,USDJPY,0.289,1.133,false,false,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.17,last_higher_low,176.286,m15_true_bos_close,0.51,0.26,h1_counter_low,176.081,1.91,0.0,0.27,condition_factorial_candidate,true,true,true,true,true,true,false,false,true,true,false,true
57,2025.11.06 14:20:00,2025.11.06 14:52:03,GBPUSD,SHORT,2025-11,server_08_15,1.30743,1.3096,1.30959,1.30311,-1.005,-47.74,USDJPY,0.241,1.347,false,false,false,none,ma_bias_pass,dow_bias_fail,too_shallow_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.9,last_higher_low,1.30522,m15_prev_extreme_bos,1.44,0.72,h1_counter_low,1.30432,1.9,0.0,1.94,condition_factorial_candidate,true,false,true,true,true,true,true,false,false,false,true,true
58,2025.11.14 17:50:00,2025.11.17 05:02:49,USDJPY,LONG,2025-11,server_16_23,154.443,154.755,154.287,154.755,2.0,92.93,USDJPY,2.167,0.628,true,true,true,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.6,weak_lower_high,154.757,m15_prev_extreme_bos,2.01,1.01,h1_counter_high,154.757,0.71,0.0,1.42,condition_factorial_candidate,true,false,true,false,true,true,true,true,false,false,true,true
59,2025.11.21 11:50:00,2025.11.21 14:57:42,GBPUSD,SHORT,2025-11,server_08_15,1.30696,1.30887,1.30886,1.30316,-1.005,-47.75,USDJPY,1.684,1.032,true,true,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,1.67,last_higher_low,1.30739,m15_true_bos_close,0.32,0.16,h1_counter_low,1.30635,1.74,0.0,0.39,condition_factorial_candidate,true,false,true,true,true,true,false,false,true,true,false,true
60,2025.11.25 19:05:00,2025.11.25 19:22:16,USDJPY,LONG,2025-11,server_16_23,156.091,155.867,155.869,156.535,-1.009,-47.43,USDJPY,1.068,1.324,true,true,false,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.14,last_lower_high,156.514,m15_prev_extreme_bos,3.39,1.69,h1_counter_high,156.843,1.54,0.0,2.93,condition_factorial_candidate,true,false,true,true,true,true,true,true,false,false,true,true
61,2025.11.26 03:35:00,2025.11.26 04:11:33,USDJPY,LONG,2025-11,server_00_07,155.996,155.78,155.78,156.428,-1.0,-47.14,USDJPY,1.63,1.574,true,true,false,none,ma_bias_pass,dow_bias_fail,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,2.09,last_lower_high,156.181,m15_true_bos_close,1.54,0.77,h1_counter_high,156.328,2.02,0.0,1.73,condition_factorial_candidate,true,false,true,true,true,true,false,false,false,true,true,true
62,2025.12.02 18:05:00,2025.12.02 19:19:42,USDJPY,SHORT,2025-12,server_16_23,155.894,156.096,156.096,155.49,-1.0,-46.59,USDJPY,0.723,0.921,true,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.39,last_higher_low,155.888,m15_true_bos_close,0.89,0.44,h4_impulse_low,155.715,1.89,0.0,0.06,condition_factorial_candidate,true,false,true,true,true,true,false,false,true,true,false,true
63,2025.12.16 18:05:00,2025.12.16 21:25:40,EURUSD,LONG,2025-12,server_16_23,1.17675,1.17413,1.17418,1.18189,-1.019,-47.16,USDJPY,0.377,1.304,false,false,false,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,0.96,weak_lower_high,1.17632,m15_true_bos_close,0.02,0.01,h4_impulse_high,1.17681,2.05,0.0,0.34,condition_factorial_candidate,true,false,true,false,false,true,false,false,true,true,false,true
