period,run,scenario,trade_index,open_time,close_time,symbol,fx_vs_xauusd,direction,net_profit,result_R,label,breakout_quality_label,context_quality_label,context_quality_score,sl_atr,breakout_body_atr
2025,A,instant_all_r12,90,2025-12-11 05:35:00,2025-12-11 08:02:07,USDJPY,FX,LONG,57.13,1.212,clean_nested_nwave_entry,unclassified,not_evaluated,0.0,2.06,0.78
2025,A,instant_all_r12,91,2025-12-16 23:35:00,2025-12-17 02:09:58,XAUUSD,XAUUSD,SHORT,-40.36,-1.003,neckline_break_late,unclassified,not_evaluated,0.0,1.64,0.01
2025,A,instant_all_r12,92,2025-12-26 01:20:00,2025-12-26 02:52:20,XAUUSD,XAUUSD,LONG,58.8,1.204,neckline_break_initial,unclassified,not_evaluated,0.0,1.63,1.06
2025,E,context_router_v2_all_r12,1,2025-01-06 04:20:00,2025-01-06 06:13:39,XAUUSD,XAUUSD,LONG,-53.55,-1.144,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.96,0.9
2025,E,context_router_v2_all_r12,2,2025-01-06 23:20:00,2025-01-07 02:28:33,XAUUSD,XAUUSD,LONG,-59.64,-1.0,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.86,0.78
2025,E,context_router_v2_all_r12,3,2025-01-14 12:05:00,2025-01-14 15:04:56,GBPJPY,FX,SHORT,57.74,1.199,weak_breakout_clean_context,weak_breakout,clean_context,7.0,1.84,0.98
2025,E,context_router_v2_all_r12,4,2025-01-17 15:50:00,2025-01-17 16:00:21,XAUUSD,XAUUSD,LONG,-48.79,-1.014,weak_breakout_clean_context,weak_breakout,clean_context,8.0,0.94,0.23
2025,E,context_router_v2_all_r12,5,2025-01-17 16:20:00,2025-01-17 16:32:22,XAUUSD,XAUUSD,LONG,-47.94,-1.004,weak_breakout_clean_context,weak_breakout,clean_context,8.0,0.87,0.86
2025,E,context_router_v2_all_r12,6,2025-01-23 17:50:00,2025-01-23 19:43:39,XAUUSD,XAUUSD,LONG,49.9,1.202,strong_breakout_clean_context,strong_breakout,clean_context,7.0,1.62,1.16
2025,E,context_router_v2_all_r12,7,2025-01-27 14:05:00,2025-01-27 14:17:01,XAUUSD,XAUUSD,LONG,-48.93,-1.001,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.87,0.38
2025,E,context_router_v2_all_r12,8,2025-02-06 22:50:00,2025-02-07 02:21:56,XAUUSD,XAUUSD,LONG,50.08,1.208,weak_breakout_clean_context,weak_breakout,clean_context,5.0,1.93,0.55
