symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,14,3000,52,52,-4.071281467307693e-05,-1.18312365e-05,9.259763551923078e-05,0.00021826923076923079
AUDUSD,14,5000,52,52,-6.079813223076923e-05,-1.5898885e-05,0.00010324750399999999,0.00021980769230769233
AUDUSD,14,10000,52,52,-4.362581092307692e-05,-1.9735678e-05,0.0001003311878076923,0.00021846153846153847
AUDUSD,14,15000,52,52,-3.061005588461539e-05,-1.1932051e-05,0.0001126644225,0.00021942307692307693
AUDUSD,14,30000,52,52,3.939485403846154e-05,5.94141865e-05,0.0001844642118076923,0.00021576923076923078
AUDUSD,14,60000,52,52,4.678034496153846e-05,2.36139315e-05,0.0002450001090384615,0.0002171153846153846
AUDUSD,14,120000,52,52,1.5428899769230767e-05,7.55175685e-05,0.0002434133989230769,0.00021769230769230768
AUDUSD,15,250,391,391,2.507140496163684e-06,-7.945999e-06,8.422003902813298e-05,0.00028040920716112535
AUDUSD,15,500,391,391,-4.9097991713554985e-06,-7.888333e-06,0.00012324761177493607,0.00027869565217391305
AUDUSD,15,1000,391,391,-3.0158519309462913e-05,-1.5849996e-05,0.00018375311337595908,0.000279309462915601
AUDUSD,15,2000,391,391,-4.976534962148337e-05,-7.960484e-06,0.0002697586946751918,0.0002629923273657289
AUDUSD,15,3000,391,391,-6.54576898337596e-05,-1.5892061e-05,0.0003063173691994885,0.00026199488491048596
AUDUSD,15,5000,391,391,-5.4119123020460356e-05,-3.155246e-05,0.0003309975245294118,0.0002571355498721228
AUDUSD,15,10000,391,391,-0.00011426380068797954,-1.5919258e-05,0.00044005979408951406,0.00025017902813299236
AUDUSD,15,15000,391,391,-0.00010537422468286445,-4.732869e-05,0.0004496418625191816,0.0002459335038363171
AUDUSD,15,30000,391,391,-0.0001483486434117647,-6.3661828e-05,0.0004960904237391304,0.0002356777493606138
AUDUSD,15,60000,391,391,-0.00017102913888235294,-0.00010340727,0.0006907168192148338,0.0002323785166240409
AUDUSD,15,120000,391,391,-0.00024384405896419437,-0.000127160739,0.0008207129213324808,0.0002284143222506394
AUDUSD,16,250,96,96,-1.4879923468749999e-05,-7.954722e-06,3.204998661458334e-05,0.0002184375
AUDUSD,16,500,96,96,-2.4453368364583334e-05,-7.949887000000001e-06,4.262500359375e-05,0.00021885416666666668
AUDUSD,16,1000,96,96,-4.6124228479166665e-05,-8.0008745e-06,6.280046218749999e-05,0.0002184375
AUDUSD,16,2000,96,96,-5.820967102083333e-05,-2.36927885e-05,7.851350370833333e-05,0.00021739583333333333
AUDUSD,16,3000,96,96,-5.55138998125e-05,-2.38209155e-05,7.584442433333334e-05,0.00021677083333333336
AUDUSD,16,5000,96,96,-6.9515650375e-05,-3.5714446499999995e-05,9.24679563125e-05,0.00021666666666666666
AUDUSD,16,10000,96,96,-6.136334066666667e-05,-4.74527855e-05,0.00011777157670833333,0.00021958333333333335
AUDUSD,16,15000,96,96,-5.935359155208333e-05,-3.5556033e-05,0.00015895595409375,0.0002190625
AUDUSD,16,30000,96,96,-4.07238958125e-05,-7.904048e-06,0.00021246609614583331,0.0002175
AUDUSD,16,60000,96,96,-6.095838888541667e-05,-6.33015435e-05,0.00027317010380208335,0.00021625
AUDUSD,16,120000,96,96,-6.065346927083333e-05,-7.907138550000001e-05,0.00034594257952083336,0.00021604166666666668
AUDUSD,17,250,229,229,-9.035239550218341e-06,-7.910548e-06,4.8376876021834065e-05,0.00022978165938864628
AUDUSD,17,500,229,229,-1.9920768655021837e-05,0.0,6.536351791266376e-05,0.00023
AUDUSD,17,1000,229,229,-5.381799141921398e-05,-7.960548e-06,0.00010747765638864628,0.00022995633187772926
AUDUSD,17,2000,229,229,-7.850670732751092e-05,-1.590609e-05,0.0001436088586113537,0.00022978165938864628
AUDUSD,17,3000,229,229,-6.309625730131005e-05,-2.376906e-05,0.0001542338874323144,0.0002290829694323144
AUDUSD,17,5000,229,229,-6.15762465021834e-05,-2.3756073e-05,0.00017278829927074236,0.0002281222707423581
AUDUSD,17,10000,229,229,-5.25888347161572e-05,-3.9563692e-05,0.00023487817148471615,0.0002266812227074236
AUDUSD,17,15000,229,229,-7.068237940174673e-05,-3.9874793e-05,0.0002717513781091703,0.0002251528384279476
AUDUSD,17,30000,229,229,-6.583238410917031e-05,-1.5835062e-05,0.0003493907726943231,0.00022336244541484716
AUDUSD,17,60000,229,229,-6.505808533187774e-05,-2.3621954e-05,0.0005106767502227074,0.00022423580786026201
AUDUSD,17,120000,229,229,-8.493626055895197e-05,-0.00011010704,0.0006299064347772926,0.00022039301310043669
AUDUSD,18,250,163,163,4.5746604417177905e-06,-7.922267e-06,7.577548472392639e-05,0.0002192638036809816
AUDUSD,18,500,163,163,1.0263396883435582e-05,7.920071e-06,9.88883159018405e-05,0.0002201226993865031
AUDUSD,18,1000,163,163,1.710034290184049e-05,-7.925406e-06,0.0001421643457607362,0.00021883435582822086
AUDUSD,18,2000,163,163,2.3402465779141104e-05,-8.05779e-06,0.0002288312829815951,0.00021748466257668714
