decision_seconds,horizon_seconds,fold,feature_set,action,model_family,inner_score,parameters,train_rows,test_rows
60,300,4,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,4.1476971044199775,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.5716227465362631,"{""C"": 0.1, ""l1_ratio"": 0.9}",591,86
60,300,4,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,3.9867723989122337,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 50}",591,86
60,600,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,25.344443508919923,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",147,132
60,600,0,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6494294116101101,"{""C"": 10.0, ""l1_ratio"": 0.1}",147,132
60,600,0,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,33.32370339935105,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",147,132
60,600,0,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,25.20833460017069,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",147,132
60,600,0,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6502204722187999,"{""C"": 0.1, ""l1_ratio"": 0.9}",147,132
60,600,0,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,33.0665997820009,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,30.15631453676878,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6580734710373964,"{""C"": 0.1, ""l1_ratio"": 0.5}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,33.546239850553036,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,29.8132655721839,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.649853767236569,"{""C"": 0.1, ""l1_ratio"": 0.9}",147,132
60,600,0,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,33.05855484842993,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",147,132
60,600,1,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,11.0981473448214,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5468398098716883,"{""C"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,8.760961929273748,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",279,117
60,600,1,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,11.266980771626308,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.6610247313860176,"{""C"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,8.76158203206514,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,11.077652876889088,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.5468348366687674,"{""C"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,8.768927675909046,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_REGRESSION,11.214777537868828,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,REVERSAL,ELASTIC_NET_LOGISTIC,0.6599111119648575,"{""C"": 10.0, ""l1_ratio"": 0.5}",279,117
60,600,1,CONTEXT_PLUS_SHOCK,REVERSAL,SHALLOW_GRADIENT_BOOSTING,8.731606986308185,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",279,117
60,600,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_REGRESSION,30.359845656326474,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",396,103
60,600,2,CONTEXT_ONLY,CONTINUATION,ELASTIC_NET_LOGISTIC,0.6469272166701432,"{""C"": 0.1, ""l1_ratio"": 0.9}",396,103
60,600,2,CONTEXT_ONLY,CONTINUATION,SHALLOW_GRADIENT_BOOSTING,29.09834584055965,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 50}",396,103
60,600,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_REGRESSION,30.554799035294792,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",396,103
60,600,2,CONTEXT_ONLY,REVERSAL,ELASTIC_NET_LOGISTIC,0.698973931492715,"{""C"": 0.1, ""l1_ratio"": 0.9}",396,103
60,600,2,CONTEXT_ONLY,REVERSAL,SHALLOW_GRADIENT_BOOSTING,29.06693780603364,"{""learning_rate"": 0.03, ""max_depth"": 1, ""n_estimators"": 100}",396,103
60,600,2,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_REGRESSION,30.69733048410461,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",396,103
60,600,2,CONTEXT_PLUS_SHOCK,CONTINUATION,ELASTIC_NET_LOGISTIC,0.64692502977867,"{""C"": 0.1, ""l1_ratio"": 0.9}",396,103
