family,target,variant,geometry,policy,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,mean_hold_seconds,timeout_rate,clusters,days,predicted_ev,longest_loss_streak,min_month_trades,worst_month_ev,positive_months,robust_gate,all_converged,cost_04_total_r,neighbor_low_total_r,neighbor_high_total_r
ELASTICNET,NET_R,FULL486,4,FREQUENCY_300,1379,0.48513415518492,-0.030814259870522,-42.49286436145,-0.4147208121828,-571.90000000009,0.90424126496181,50.490268545599,797,582,259,262,858,-0.016097097358041,0.12689916340148,-47.468037227102,876.27027483684,0.62218999274837,1379,63,0.13261692954299,10,395,-0.058374119648028,1,False,True,-62.787831466161,-46.166680706941,-36.121934051953
ELASTICNET,NET_R,FULL486,4,PERCENTILE_100,502,0.50199203187251,-0.017941144850059,-9.0064547147297,0.13984063745016,70.199999999982,0.9417263056664,18.221888933129,292,210,94,90,318,-0.0039456350964622,0.093133869329581,-13.981627580381,1096.7797629482,0.63346613545817,502,62,0.22180106090625,7,148,-0.051003012585189,1,False,True,-16.032200611035,-22.092602921078,-7.0099251519584
ELASTICNET,NET_R,FULL486,4,PERCENTILE_150,732,0.4931693989071,-0.020046459729613,-14.674008522076,-0.086475409836091,-63.300000000019,0.93597894309196,29.339425764235,425,307,136,135,461,-0.0057513580368962,0.092728496172988,-19.649181387728,990.79365983607,0.62978142076503,732,63,0.19022703803848,8,214,-0.033967377241328,1,False,True,-25.138022961145,-29.564885461606,-9.2601869197794
ELASTICNET,NET_R,FULL486,4,PERCENTILE_200,975,0.48,-0.031811324384558,-31.016041274944,-0.37046153846158,-361.20000000004,0.90020332489874,49.903804081924,572,403,178,182,615,-0.017353516402522,0.10321420200097,-35.991214140596,932.59746153846,0.63076923076923,975,63,0.16407875324604,10,289,-0.051325631276953,1,False,True,-45.112404057429,-43.44688816132,-13.521353932136
ELASTICNET,NET_R,FULL486,4,PERCENTILE_300,1364,0.48387096774194,-0.032894195294629,-44.867682381874,-0.46590909090916,-635.50000000009,0.89781715948966,55.024272755431,790,574,255,260,849,-0.018243437616746,0.12752228777558,-49.842855247526,876.97901026393,0.62243401759531,1364,63,0.13350923739988,10,400,-0.060605662054773,1,False,True,-64.851315854506,-48.324467669635,-48.983116365062
ELASTICNET,NET_R,FULL486,5,ABS_0,1913,0.4762153685311,-0.034614969220046,-66.218436117948,-0.59607945635132,-1140.3000000001,0.86256382829628,74.840379437276,1244,669,163,187,1563,-0.023617859672721,0.1293876108124,-71.194676847555,1013.6755227392,0.8170412963931,1913,62,0.077300389132608,9,575,-0.047310260306527,0,False,True,-87.255906681982,-74.207638861236,-56.985282373007
ELASTICNET,NET_R,FULL486,5,ABS_0.05,978,0.48057259713701,-0.02606535225679,-25.491914507141,-0.3784253578732,-370.09999999999,0.89424062084581,33.503966260749,678,300,88,83,807,-0.014955014952625,0.096971142586785,-30.468155236747,1187.435200409,0.82515337423313,978,61,0.12879558671225,12,197,-0.036408049265873,0,False,True,-36.357824390614,-31.24641713007,-17.511093971325
ELASTICNET,NET_R,FULL486,5,ABS_0.1,483,0.49689440993789,-0.013228369117036,-6.3893022835282,-0.30662525879916,-148.09999999999,0.94551475097163,11.836719986857,336,147,48,36,399,-0.0016592584985528,0.1197448664292,-11.361234178931,1192.7698115942,0.82608695652174,483,52,0.18650693131463,9,47,-0.050641187255236,1,False,True,-11.977182712255,-11.619191730217,0.38400402205791
ELASTICNET,NET_R,FULL486,5,ALL,2917,0.47685978745286,-0.045924549758719,-133.96191164618,-0.73962975659926,-2157.5000000001,0.82298049954879,139.45624540437,1727,1190,240,306,2371,-0.033912354592219,0.14566014277446,-138.93815237579,1125.8084192664,0.81282139184093,2917,63,0.040419384931017,10,872,-0.053922702413603,0,False,True,-169.00148494687,-133.96191164618,-126.3317328825
ELASTICNET,NET_R,FULL486,5,FREQUENCY_100,619,0.49757673667205,0.00051413473689407,0.31824940213743,0.11712439418417,72.500000000001,1.002245088075,10.09580945431,445,174,60,42,517,0.010814584375835,0.10004165230027,-4.6579913274688,1115.6605363489,0.83521809369952,619,60,0.15757902611665,7,154,-0.012931799303965,2,False,True,-6.0577289243671,-9.9512085432233,-2.2010154125224
