family,month,geometry,variant,scope,feature,direction,bin,lower,upper,edge_fit_rows,rows,tp_first_rate,net_win_rate,net_expectancy_r,total_r
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,1,2,0,1,656,325,0.08,0.47076923076923,-0.064852202461998,-21.076965800149
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,1,3,1,inf,656,306,0.094771241830065,0.44444444444444,-0.080275815046502,-24.56439940423
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,-1,1,-1,0,656,302,0.079470198675497,0.46688741721854,-0.039703723222658,-11.990524413243
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,-1,2,0,1,656,325,0.10461538461538,0.48923076923077,-0.021455640984518,-6.9730833199685
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m1_ema_alignment,-1,3,1,inf,656,306,0.07516339869281,0.5,-0.023489363968652,-7.1877453744076
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,1,0,-inf,-1.673523092803,656,152,0.092105263157895,0.47368421052632,-0.033407772331496,-5.0779813943874
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,1,1,-1.673523092803,-0.615026305212,656,202,0.054455445544554,0.44059405940594,-0.092657463202648,-18.716807566935
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,1,2,-0.615026305212,0.26000563986,656,164,0.067073170731707,0.48780487804878,-0.093328141050673,-15.30581513231
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,1,3,0.26000563986,1.214968393246,656,206,0.11165048543689,0.49029126213592,-0.042388067823162,-8.7319419715714
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,1,4,1.214968393246,inf,656,209,0.086124401913876,0.42583732057416,-0.072379658829289,-15.127348695321
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,-1,0,-inf,-1.673523092803,656,152,0.092105263157895,0.46052631578947,-0.062707947584239,-9.5316080328044
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,-1,1,-1.673523092803,-0.615026305212,656,202,0.079207920792079,0.50990099009901,0.0081972513718917,1.6558447771221
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,-1,2,-0.615026305212,0.26000563986,656,164,0.1280487804878,0.47560975609756,-0.0047229665544903,-0.77456651493641
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,-1,3,0.26000563986,1.214968393246,656,206,0.087378640776699,0.44660194174757,-0.052058046004638,-10.723957476955
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_price_gap_atr,-1,4,1.214968393246,inf,656,209,0.057416267942584,0.52631578947368,-0.032426152440404,-6.7770658600445
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,1,0,-inf,-1.066208169905,656,197,0.055837563451777,0.46700507614213,-0.048786377712633,-9.6109164093887
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,1,1,-1.066208169905,-0.447893786804,656,167,0.095808383233533,0.49700598802395,-0.039502094537205,-6.5968497877133
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,1,2,-0.447893786804,0.120108629624,656,174,0.10919540229885,0.47701149425287,-0.069430796716034,-12.08095862859
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,1,3,0.120108629624,0.719740196621,656,162,0.067901234567901,0.39506172839506,-0.14056897741328,-22.772174340951
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,1,4,0.719740196621,inf,656,233,0.085836909871245,0.46781115879828,-0.051068650617524,-11.898995593883
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,-1,0,-inf,-1.066208169905,656,197,0.060913705583756,0.47715736040609,-0.038379279844882,-7.5607181294417
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,-1,1,-1.066208169905,-0.447893786804,656,167,0.095808383233533,0.45508982035928,-0.05475031520093,-9.1433026385553
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,-1,2,-0.447893786804,0.120108629624,656,174,0.10919540229885,0.47701149425287,-0.035293966125637,-6.1411501058609
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,-1,3,0.120108629624,0.719740196621,656,162,0.11728395061728,0.54320987654321,0.058611769270311,9.4951066217904
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_ema20_50_gap_atr,-1,4,0.719740196621,inf,656,233,0.064377682403433,0.48068669527897,-0.054941153886486,-12.801288855551
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,1,0,-inf,38.659082467023,656,189,0.063492063492063,0.46560846560847,-0.050440340984563,-9.5332244460823
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,1,1,38.659082467023,45.76449309713,656,178,0.084269662921348,0.46629213483146,-0.085003373462033,-15.130600476242
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,1,2,45.76449309713,52.032332949673,656,164,0.085365853658537,0.48170731707317,-0.041017690785383,-6.7269012888029
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,1,3,52.032332949673,58.714907542961,656,193,0.098445595854922,0.46113989637306,-0.071928805609085,-13.882259482553
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,1,4,58.714907542961,inf,656,209,0.08133971291866,0.44019138755981,-0.084626359171508,-17.686909066845
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,-1,0,-inf,38.659082467023,656,189,0.079365079365079,0.46560846560847,-0.030722951331171,-5.8066378015913
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,-1,1,38.659082467023,45.76449309713,656,178,0.095505617977528,0.48314606741573,-0.028632596359348,-5.0966021519639
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,-1,2,45.76449309713,52.032332949673,656,164,0.10365853658537,0.49390243902439,-0.043784185620731,-7.1806064417999
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,-1,3,52.032332949673,58.714907542961,656,193,0.093264248704663,0.47668393782383,-0.018239495350199,-3.5202226025884
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_rsi14_value,-1,4,58.714907542961,inf,656,209,0.066985645933014,0.50717703349282,-0.02175734023768,-4.5472841096751
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_macd_hist_atr,1,0,-inf,-0.204608733938,656,200,0.07,0.485,-0.047607955999487,-9.5215911998974
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_macd_hist_atr,1,1,-0.204608733938,-0.067757091745,656,174,0.086206896551724,0.4367816091954,-0.068402090925536,-11.901963821043
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_macd_hist_atr,1,2,-0.067757091745,0.063741195634,656,194,0.082474226804124,0.43814432989691,-0.11445335161365,-22.203950213047
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_macd_hist_atr,1,3,0.063741195634,0.178640724191,656,147,0.081632653061224,0.51700680272109,-0.01602780261096,-2.3560869838111
ELASTICNET,202502,5,FULL486,ALL_EXECUTABLE_SIDE_LABELS_NOT_PORTFOLIO_NOT_ADOPTED_RULE,m5_macd_hist_atr,1,4,0.178640724191,inf,656,218,0.091743119266055,0.44495412844037,-0.0778729474437,-16.976302542727
