episode_id,checkpoint_seconds,market_cluster_id,symbol,session,week,fold,path_class,continuation_r,reversal_r,oracle_r,remaining_mfe,consumed_move
ts15n_delayed_decision_r2_202503_AUDUSD_mh_126,30,3605,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.237410662612
ts15n_delayed_decision_r2_202503_AUDUSD_mh_126,60,3605,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.251375995707
ts15n_delayed_decision_r2_202503_AUDUSD_mh_126,120,3605,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.153618664043
ts15n_delayed_decision_r2_202503_AUDUSD_mh_127,15,3617,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.027315888616
ts15n_delayed_decision_r2_202503_AUDUSD_mh_127,30,3617,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.095605610156
ts15n_delayed_decision_r2_202503_AUDUSD_mh_127,60,3617,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.013657944308
ts15n_delayed_decision_r2_202503_AUDUSD_mh_128,30,3650,AUDUSD,NEW_YORK,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.275333564553
ts15n_delayed_decision_r2_202503_AUDUSD_mh_129,15,3671,AUDUSD,OTHER,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.0
ts15n_delayed_decision_r2_202503_AUDUSD_mh_129,60,3671,AUDUSD,OTHER,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.328647401427
ts15n_delayed_decision_r2_202503_AUDUSD_mh_13,60,941,AUDUSD,TOKYO,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.031119446637
ts15n_delayed_decision_r2_202503_AUDUSD_mh_130,120,3679,AUDUSD,OTHER,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.647299661301
ts15n_delayed_decision_r2_202503_AUDUSD_mh_131,30,3687,AUDUSD,OTHER,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.454480081828
ts15n_delayed_decision_r2_202503_AUDUSD_mh_131,120,3687,AUDUSD,OTHER,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.513122673031
ts15n_delayed_decision_r2_202503_AUDUSD_mh_132,15,3693,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.189308246601
ts15n_delayed_decision_r2_202503_AUDUSD_mh_132,30,3693,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.081132105686
ts15n_delayed_decision_r2_202503_AUDUSD_mh_132,120,3693,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.703144922851
ts15n_delayed_decision_r2_202503_AUDUSD_mh_133,15,3701,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.458969871491
ts15n_delayed_decision_r2_202503_AUDUSD_mh_133,60,3701,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.473748063121
ts15n_delayed_decision_r2_202503_AUDUSD_mh_133,120,3701,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,1.012098134851
ts15n_delayed_decision_r2_202503_AUDUSD_mh_134,30,3709,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,1.033148774078
ts15n_delayed_decision_r2_202503_AUDUSD_mh_135,30,3721,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.299627479935
ts15n_delayed_decision_r2_202503_AUDUSD_mh_136,30,3725,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.394868753636
ts15n_delayed_decision_r2_202503_AUDUSD_mh_136,60,3725,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.477133077309
ts15n_delayed_decision_r2_202503_AUDUSD_mh_136,120,3725,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.674567443647
