period_id,variant,anchor_flip_entry_bucket,m15_bias_flip_direction,m15_bias_flip_age_bucket2,anchor_flip_pullback_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_pullback_m5_reconfirm,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,26,5,0.19230769230769232,-134.76999999999998,103.60000000000001,-238.36999999999995,0.4346184503083443,-5.7772000000000014,-0.22220000000000006,0.4254400795624067,134.76999999999998,1.3476999999999997,-1.0,1,0.038461538461538464,3,0.11538461538461539,22,0.8461538461538461,0.44238461538461527,0.5421730769230769,0.38461538461538464,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.0,USDJPY:14|EURUSD:6|GBPUSD:3|AUDJPY:1|EURJPY:1|GBPJPY:1,LONG:26,london_newyork_overlap:16|tokyo:6|london:4
full2025_validation,anchor_pullback_m5_reconfirm,anchor_flip_entry_direction,LONG,normal_5_12,true_post_anchor_pullback,2,1,0.5,11.54,17.82,-6.28,2.837579617834395,0.45779999999999993,0.22889999999999996,2.711401869158878,6.28,0.0628,1.8375796178343946,0,0.0,0,0.0,2,1.0,0.64125,0.3859,0.5,0.0,0.0,0.0,0.0,EURJPY:1|EURUSD:1,LONG:2,london:1|new_york:1
full2025_validation,anchor_pullback_m5_reconfirm,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,33,9,0.2727272727272727,-72.01000000000002,208.83,-280.8399999999999,0.7435906566016239,-3.2609999999999997,-0.0988181818181818,0.7269164419582291,93.05000000000001,0.9305000000000001,-0.7738850080601828,1,0.030303030303030304,5,0.15151515151515152,27,0.8181818181818182,0.5205909090909091,0.48960000000000004,0.3939393939393939,0.30303030303030304,0.21212121212121213,0.15151515151515152,0.0,USDJPY:21|EURUSD:5|EURJPY:4|GBPJPY:3,SHORT:33,london_newyork_overlap:16|london:12|tokyo:5
full2025_validation,anchor_pullback_m5_reconfirm,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,3,2,0.6666666666666666,63.22,66.52,-3.3,20.157575757575756,2.5636,0.8545333333333334,19.456443484521238,3.3,0.033,19.15757575757576,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.2326333333333332,0.3209666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,EURJPY:1|EURUSD:1|USDJPY:1,SHORT:3,london:1|london_newyork_overlap:1|tokyo:1
full2025_validation,anchor_pullback_required,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,29,9,0.3103448275862069,-12.660000000000009,187.89000000000001,-200.54999999999995,0.9368735976065822,-0.5852999999999999,-0.020182758620689654,0.9298226682493432,48.07000000000001,0.48070000000000007,-0.26336592469315595,0,0.0,5,0.1724137931034483,24,0.8275862068965517,0.5884275862068965,0.4773586206896552,0.5172413793103449,0.27586206896551724,0.20689655172413793,0.1724137931034483,0.0,USDJPY:16|EURUSD:7|GBPUSD:3|AUDJPY:1|EURJPY:1|GBPJPY:1,LONG:29,london_newyork_overlap:15|tokyo:8|london:5|new_york:1
full2025_validation,anchor_pullback_required,anchor_flip_entry_direction,LONG,normal_5_12,true_post_anchor_pullback,2,1,0.5,11.52,17.82,-6.3,2.8285714285714287,0.45779999999999993,0.22889999999999996,2.711401869158878,6.3,0.063,1.8285714285714285,0,0.0,0,0.0,2,1.0,0.64125,0.3859,0.5,0.0,0.0,0.0,0.0,EURJPY:1|EURUSD:1,LONG:2,london:1|new_york:1
full2025_validation,anchor_pullback_required,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,39,9,0.23076923076923078,-117.83000000000007,208.84000000000003,-326.66999999999996,0.639299598983684,-5.101600000000001,-0.13081025641025645,0.6298360179944855,138.87000000000006,1.3887000000000007,-0.8484913948296969,1,0.02564102564102564,5,0.1282051282051282,33,0.8461538461538461,0.514971794871795,0.47483589743589744,0.38461538461538464,0.2564102564102564,0.1794871794871795,0.1282051282051282,0.0,USDJPY:24|EURUSD:6|EURJPY:4|GBPJPY:4|AUDJPY:1,SHORT:39,london_newyork_overlap:19|london:12|tokyo:6|new_york:2
full2025_validation,anchor_pullback_required,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,3,2,0.6666666666666666,63.22,66.52,-3.3,20.157575757575756,2.5636,0.8545333333333334,19.456443484521238,3.3,0.033,19.15757575757576,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.2326333333333332,0.3209666666666667,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,EURJPY:1|EURUSD:1|USDJPY:1,SHORT:3,london:1|london_newyork_overlap:1|tokyo:1
full2025_validation,base,no_anchor_flip_entry,NONE,none,no_flip,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40
full2025_validation,light,no_anchor_flip_entry,NONE,none,no_flip,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,LONG,fresh_0_4,flip_without_true_pullback,1,1,1.0,32.46,32.46,0,inf,1.3285,1.3285,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3285,0.5328,1.0,1.0,1.0,1.0,0.0,USDJPY:1,LONG:1,london:1
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,28,8,0.2857142857142857,-19.930000000000007,179.37000000000003,-199.3,0.9000000000000001,-0.9404999999999997,-0.033589285714285703,0.8872342721484836,48.18000000000001,0.4818000000000001,-0.41365711913657127,0,0.0,5,0.17857142857142858,23,0.8214285714285714,0.5789464285714284,0.4839714285714286,0.5,0.25,0.21428571428571427,0.17857142857142858,0.0,USDJPY:16|EURUSD:7|GBPUSD:3|AUDJPY:1|GBPJPY:1,LONG:28,london_newyork_overlap:15|tokyo:7|london:5|new_york:1
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,LONG,normal_5_12,true_post_anchor_pullback,1,1,1.0,17.82,17.82,0,inf,0.7253,0.7253,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.7875,0.3407,1.0,0.0,0.0,0.0,0.0,EURUSD:1,LONG:1,new_york:1
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,SHORT,fresh_0_4,flip_without_true_pullback,4,3,0.75,71.42999999999999,95.66999999999999,-24.24,3.9467821782178216,2.9059,0.726475,3.883123325726759,24.239999999999995,0.24239999999999995,2.946782178217822,1,0.25,3,0.75,0,0.0,1.151675,0.679975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:4,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,34,6,0.17647058823529413,-181.24,124.18,-305.41999999999996,0.40658764979372675,-7.796000000000001,-0.22929411764705887,0.3969025111011402,202.26000000000002,2.0226,-0.8960743597349945,1,0.029411764705882353,3,0.08823529411764706,30,0.8823529411764706,0.4668029411764706,0.49151764705882356,0.35294117647058826,0.20588235294117646,0.11764705882352941,0.08823529411764706,0.0,USDJPY:21|EURJPY:4|EURUSD:4|GBPJPY:4|AUDJPY:1,SHORT:34,london_newyork_overlap:18|london:9|tokyo:5|new_york:2
full2025_validation,light_or_anchor_pullback,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,2,1,0.5,28.819999999999997,32.12,-3.3,9.733333333333333,1.1675,0.58375,9.405327573794096,3.3,0.033,8.733333333333333,0,0.0,1,0.5,1,0.5,1.1509,0.41325,1.0,1.0,0.5,0.5,0.0,EURJPY:1|USDJPY:1,SHORT:2,london:1|tokyo:1
full2025_validation,light_or_anchor_pullback,no_anchor_flip_entry,LONG,fresh_0_4,no_flip,3,1,0.3333333333333333,-18.01,29.91,-47.92,0.6241652754590985,-0.6873,-0.2291,0.65635,47.92,0.4792,-0.3758347245409015,2,0.6666666666666666,1,0.3333333333333333,0,0.0,0.5503666666666667,0.7578666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,EURJPY:1|EURUSD:1|USDJPY:1,SHORT:3,london_newyork_overlap:1|new_york:1|tokyo:1
