entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,base_strength,quote_strength,strength_diff,strength_rank_base,strength_rank_quote,pair_momentum_h1,pair_momentum_h4,strength_alignment,pair_alignment,entry_type,pullback_depth_atr,overextended_flag,room_to_1r,room_to_2r,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.08 15:00:00,2025.01.08 15:29:50,currency_strength_momentum_room_to_2r,EURJPY,SHORT,EUR,JPY,-5.48886,2.51340,-8.00226,4,2,-3.54520,-1.64775,true,true,strength_momentum,1.0252,true,2.6026,2.6026,overextended_entry,162.97600000,163.12800000,163.12700000,162.79500000,0.15100000,-1.0066,-24.00,0.00,0.00,-24.00,0.250,1.200,1,0.15100000,30.00,9.285,DEAL_REASON_SL,90
2025.01.08 15:45:00,2025.01.08 16:19:08,currency_strength_momentum_room_to_2r,EURJPY,SHORT,EUR,JPY,-5.48886,2.51340,-8.00226,4,2,-3.54520,-1.64775,true,true,strength_momentum,0.5094,true,2.2548,2.2548,overextended_entry,162.93700000,163.09500000,163.09400000,162.74800000,0.15700000,-1.0064,-23.95,0.00,0.00,-23.95,0.240,1.200,2,0.15742857,30.00,9.250,DEAL_REASON_SL,92
2025.01.08 17:00:00,2025.01.08 17:06:52,currency_strength_momentum_room_to_2r,EURJPY,SHORT,EUR,JPY,-4.22759,2.64960,-6.87719,4,2,-2.97239,-1.26274,true,true,strength_momentum,0.1986,false,2.2012,2.2012,no_follow_through,162.95500000,163.12600000,163.12400000,162.75200000,0.16900000,-1.0118,-23.76,0.00,0.00,-23.76,0.220,1.200,0,0.16921429,30.00,7.929,DEAL_REASON_SL,94
2025.01.08 20:00:00,2025.01.08 20:12:00,currency_strength_momentum_room_to_2r,GBPJPY,SHORT,GBP,JPY,-4.83178,0.73427,-5.56604,5,2,-3.34251,-1.77894,true,true,strength_momentum,0.1482,true,2.0950,2.0950,overextended_entry,195.53000000,195.73200000,195.73000000,195.29000000,0.20000000,-1.0100,-24.24,0.00,0.00,-24.24,0.190,1.200,0,0.19978571,38.00,6.788,DEAL_REASON_SL,96
2025.01.09 05:00:00,2025.01.09 05:10:13,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,1.10873,1.98582,-0.87709,2,1,-1.75433,0.50612,true,true,strength_momentum,0.5390,false,7.6882,7.6882,other,158.08300000,157.97200000,158.17600000,157.97200000,0.09300000,1.1935,28.81,0.00,0.00,28.81,0.410,1.200,0,0.09257143,16.00,1.855,DEAL_REASON_TP,98
2025.01.09 05:15:00,2025.01.09 06:03:12,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,1.10873,2.11303,-1.00430,2,1,-1.75433,0.50612,true,true,strength_momentum,1.3649,false,6.1959,6.1959,other,157.96900000,157.84800000,158.06600000,157.85300000,0.09700000,1.2474,29.90,0.00,0.00,29.90,0.390,1.200,3,0.09685714,16.00,1.833,DEAL_REASON_TP,100
2025.01.09 06:30:00,2025.01.09 06:43:21,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,1.16193,2.90812,-1.74618,2,1,-2.64704,0.50612,true,true,strength_momentum,1.8387,false,4.8242,4.8242,no_follow_through,157.80700000,157.89900000,157.89800000,157.69800000,0.09100000,-1.0110,-24.47,0.00,0.00,-24.47,0.420,1.200,0,0.09050000,16.00,2.606,DEAL_REASON_SL,102
2025.01.09 12:30:04,2025.01.09 12:42:16,currency_strength_momentum_room_to_2r,GBPUSD,SHORT,GBP,USD,-6.44154,2.56297,-9.00451,5,1,-4.43912,-3.79199,true,true,strength_momentum,0.2120,true,2.1640,2.1640,other,1.22783000,1.22536000,1.22972000,1.22557000,0.00189000,1.3069,29.64,0.00,0.00,29.64,0.120,1.200,0,0.00188643,20.00,10.893,DEAL_REASON_TP,104
2025.01.09 13:15:01,2025.01.09 13:37:04,currency_strength_momentum_room_to_2r,GBPUSD,SHORT,GBP,USD,-6.17529,2.41997,-8.59526,5,2,-3.93061,-3.79199,true,true,strength_momentum,0.0806,true,2.1535,2.1535,overextended_entry,1.22809000,1.23014000,1.23011000,1.22566000,0.00202000,-1.0149,-24.60,0.00,0.00,-24.60,0.120,1.200,1,0.00202357,20.00,10.384,DEAL_REASON_SL,106
2025.01.09 14:30:00,2025.01.09 15:00:34,currency_strength_momentum_room_to_2r,GBPUSD,SHORT,GBP,USD,-5.34829,2.02657,-7.37486,5,2,-2.76800,-3.79199,true,true,strength_momentum,0.1825,false,2.4970,2.4970,no_follow_through,1.22791000,1.22959000,1.22958000,1.22590000,0.00167000,-1.0060,-23.52,0.00,0.00,-23.52,0.140,1.200,2,0.00167143,20.00,8.974,DEAL_REASON_SL,108
