session,trend_mode,min_breakout_persist,min_spread_z,max_spread_pips,cooldown_bars,stop_loss_pips,target_r,max_hold_bars,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
all,ema_up,1,0.0,2.0,0,15.0,1.2,6,581,1.4761022600963318,-0.04838783706253828,0.4836488812392427,238,2.6567441860465117,-0.1195798319327715,0.4495798319327731,0.11043148345371827
london_ny,any,2,0.0,2.0,3,10.0,1.2,12,563,1.4276632650365844,-0.10502664298401593,0.47957371225577267,217,2.508569822983984,-0.12571428571429177,0.4838709677419355,0.10925637221143084
all,ema_up,2,0.0,2.0,3,10.0,1.0,6,206,0.5351276755030803,-0.0817961165048598,0.4854368932038835,99,1.1425823515268094,-0.12565656565657743,0.494949494949495,0.10788765140932793
all,ema_up,1,0.0,2.0,0,15.0,1.0,6,597,1.5167522362779864,-0.05819095477387034,0.49413735343383586,246,2.746046511627907,-0.10875338753387287,0.4634146341463415,0.1071206684857118
all,ema_up,2,0.0,2.0,0,10.0,1.0,6,232,0.6026680617316245,-0.07590517241379785,0.49137931034482757,118,1.3618658331329647,-0.1611864406779774,0.4830508474576271,0.10569272982147956
london_ny,any,2,0.0,2.0,0,15.0,1.2,6,622,1.5772762892588907,-0.06237942122186779,0.47106109324758844,242,2.7975755629590973,-0.0867217630854022,0.4834710743801653,0.10494422661581326
all,ema_up,2,0.0,2.0,3,10.0,1.2,6,206,0.5351276755030803,-0.052184466019424045,0.47572815533980584,99,1.1425823515268094,-0.14060606060607164,0.46464646464646464,0.10356696885563577
london_ny,any,2,0.0,2.0,3,10.0,1.0,6,569,1.442878148855802,-0.09463971880492646,0.5043936731107206,219,2.531690282181993,-0.14662100456621854,0.5159817351598174,0.10333483158457375
all,ema_up,1,0.0,2.0,3,12.0,1.0,12,500,1.2702781379839627,-0.08261666666666832,0.508,200,2.2325581395348837,-0.21583333333333385,0.445,0.10219603906987357
london_ny,ema_up,2,0.0,2.0,0,10.0,1.0,12,169,0.43901251048553674,-0.017988165680475718,0.5562130177514792,87,1.0057399751133946,-0.1375862068965577,0.5172413793103449,0.10182586467616968
all,ema_up,1,0.0,2.0,3,12.0,1.0,6,516,1.3109270383994496,-0.059447674418606614,0.5058139534883721,216,2.4111627906976745,-0.20798611111111182,0.4398148148148148,0.10160348659228853
all,ema_up,2,0.0,2.0,3,12.0,1.0,12,201,0.5221391396898988,-0.07964344941957002,0.5024875621890548,94,1.0848761721567686,-0.13900709219858107,0.5,0.10107032467415702
london_ny,ema_up,2,0.0,2.0,3,15.0,1.0,6,145,0.37666753858226526,-0.004597701149430986,0.5241379310344828,71,0.820776301529322,-0.09746478873239729,0.43661971830985913,0.10042368093969815
london_ny,ema_up,2,0.0,2.0,0,12.0,1.0,6,163,0.4234262675097189,-0.03880368098160169,0.5030674846625767,80,0.9248183679203628,-0.1081250000000146,0.4625,0.09967164153874572
all,ema_up,1,0.0,2.0,3,10.0,1.0,12,516,1.310938602681722,-0.06643410852713533,0.5387596899224806,211,2.3553488372093025,-0.2190995260663467,0.4597156398104265,0.0988402195055392
london_ny,ema_up,2,0.0,2.0,3,15.0,1.2,6,145,0.37666753858226526,0.01567816091953286,0.5172413793103449,71,0.820776301529322,-0.10760563380281946,0.4225352112676056,0.0981621947813687
all,any,2,0.0,2.0,3,15.0,1.2,12,672,1.698816755029669,-0.056676587301589365,0.47619047619047616,273,3.150757393604232,-0.0511355311355324,0.47619047619047616,0.09731891395133019
london_ny,any,2,0.0,2.0,0,15.0,1.0,6,628,1.5924911730781084,-0.07210191082802747,0.4872611464968153,248,2.8669369405531246,-0.0993010752688207,0.49193548387096775,0.09595250505974105
london_ny,ema_up,2,0.0,2.0,0,12.0,1.2,6,158,0.4104377316965373,-0.016350210970469587,0.4873417721518987,80,0.9248183679203628,-0.11395833333334078,0.4375,0.09565334275280514
all,ema_up,2,0.0,2.0,3,10.0,1.2,12,204,0.5299322611778077,-0.05073529411765005,0.4950980392156863,96,1.1079586439047848,-0.16364583333333357,0.4791666666666667,0.0948703370394824
london_ny,any,2,0.0,2.0,0,12.0,1.2,12,653,1.6558865223248482,-0.09465288412455543,0.47473200612557426,255,2.9478585477461565,-0.064901960784317,0.4980392156862745,0.09422675823208279
london_ny,ema_up,2,0.0,2.0,3,12.0,1.2,12,145,0.37666753858226526,-0.04488505747127079,0.496551724137931,71,0.820776301529322,-0.10880281690140842,0.49295774647887325,0.091518589471349
all,ema_up,1,0.0,2.0,3,12.0,1.2,6,515,1.3083864821234816,-0.06001618122977407,0.4893203883495146,211,2.3553488372093025,-0.22377567140600438,0.41232227488151657,0.0913186621022743
london_ny,ema_up,2,0.0,2.0,0,10.0,1.2,12,168,0.43641480332290045,-0.008690476190478521,0.5178571428571429,83,0.9594990567173765,-0.1513253012048205,0.46987951807228917,0.09032928883440125
