period_id,variant,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,m5req,2025-04,10,3,0.3,-43.63999999999999,66.49000000000001,-110.13,0.6037410333242532,-1.9357,-0.19357,0.5873059866962306,93.74,0.9373999999999999,-0.46554299125240023,2,0.2,2,0.2,6,0.6,0,0.58066,0.73848,0.4,0.3,0.2,0.1,0.0
full2025_validation,m5req,2025-07,2,1,0.5,22.15,31.41,-9.26,3.3920086393088553,0.901,0.4505,3.2385093167701866,9.26,0.0926,2.3920086393088553,0,0.0,1,0.5,1,0.5,0,0.7887000000000001,0.60405,0.5,0.5,0.5,0.5,0.0
full2025_validation,m5req,2025-08,1,0,0.0,-14.63,0,-14.63,0.0,-0.5882,-0.5882,0.0,14.63,0.1463,-1.0,0,0.0,0,0.0,1,1.0,0,0.8382,0.875,1.0,1.0,0.0,0.0,0.0
full2025_validation,m5req,2025-09,1,0,0.0,-6.78,0,-6.78,0.0,-0.3043,-0.3043,0.0,6.78,0.0678,-1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.4255,0.0,0.0,0.0,0.0,0.0
full2025_validation,m5req,2025-10,1,0,0.0,-9.51,0,-9.51,0.0,-0.4,-0.4,0.0,9.51,0.0951,-1.0,0,0.0,0,0.0,1,1.0,0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
full2025_validation,m5score,2025-01,31,9,0.2903225806451613,-156.71000000000004,166.32000000000002,-323.03,0.514874779432251,-6.2808,-0.20260645161290322,0.5305724343595147,180.94000000000003,1.8094000000000003,-0.8660882060351498,7,0.22580645161290322,5,0.16129032258064516,19,0.6129032258064516,0,0.6011387096774192,0.6186677419354837,0.5483870967741935,0.2903225806451613,0.22580645161290322,0.12903225806451613,0.0
full2025_validation,m5score,2025-02,29,4,0.13793103448275862,-277.85999999999996,42.470000000000006,-320.33,0.1325820247869385,-11.959200000000001,-0.41238620689655175,0.12996158770806654,277.85999999999996,2.7785999999999995,-1.0,4,0.13793103448275862,1,0.034482758620689655,24,0.8275862068965517,0,0.40250689655172417,0.5725448275862071,0.3103448275862069,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0
full2025_validation,m5score,2025-03,48,13,0.2708333333333333,-136.87,263.25999999999993,-400.12999999999994,0.6579361707445079,-5.8870000000000005,-0.12264583333333334,0.66319198114287,199.91,1.9990999999999999,-0.6846580961432644,5,0.10416666666666667,7,0.14583333333333334,36,0.75,0,0.6343958333333336,0.5461458333333334,0.5416666666666666,0.3958333333333333,0.2708333333333333,0.14583333333333334,0.0
full2025_validation,m5score,2025-04,91,26,0.2857142857142857,-119.37000000000002,641.1199999999999,-760.4900000000002,0.8430354113795049,-5.465199999999999,-0.06005714285714285,0.8403920400450918,201.49,2.0149,-0.5924363491984714,9,0.0989010989010989,21,0.23076923076923078,61,0.6703296703296703,0,0.706868131868132,0.5850802197802196,0.5824175824175825,0.4175824175824176,0.3516483516483517,0.18681318681318682,0.0
full2025_validation,m5score,2025-05,21,5,0.23809523809523808,-103.34,70.6,-173.94000000000003,0.4058870875014372,-4.6653,-0.22215714285714286,0.4062842016849499,112.80000000000001,1.1280000000000001,-0.9161347517730496,1,0.047619047619047616,1,0.047619047619047616,19,0.9047619047619048,0,0.5613428571428571,0.5644476190476191,0.47619047619047616,0.3333333333333333,0.23809523809523808,0.047619047619047616,0.0
