episode_id,market_cluster_id,symbol,shock_direction,entry_spread,atr14_m5,spread_atr_t0,broker_stop_distance,existing_sl_distance,existing_tp_distance,existing_sl_atr,existing_tp_atr,existing_risk_source,existing_continuation_result,existing_continuation_touch_msc,existing_reversal_result,existing_reversal_touch_msc,status,analysis_ready,high_movement,spread_over_tp_0.20,spread_over_tp_0.30,spread_over_tp_0.40,spread_over_tp_0.50,spread_over_existing_sl
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_31,234,USDJPY,LONG,0.0210000000,0.1113614863,0.179595304148,0.0000000000,0.0840000000,0.1010000000,0.754300277421,0.906956285947,ENTRY_SPREAD,SL_FIRST,1741066003884,SL_FIRST,1741065557041,COMPLETE_3600S,TRUE,NOT_READY,0.9428753466628255,0.6285835644418838,0.47143767333141273,0.37715013866513025,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_32,238,USDJPY,LONG,0.0170000000,0.1123987937,0.160144067457,0.0000000000,0.0680000000,0.0820000000,0.604988699280,0.729545196191,ENTRY_SPREAD,SL_FIRST,1741066526903,SL_FIRST,1741066673808,COMPLETE_3600S,TRUE,NOT_READY,0.7562358740866095,0.5041572493910731,0.37811793704330476,0.30249434963464383,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_33,248,USDJPY,SHORT,0.0200000000,0.1130146260,0.141574595829,0.0000000000,0.0800000000,0.0960000000,0.707872979148,0.849447574977,ENTRY_SPREAD,SL_FIRST,1741067734216,SL_FIRST,1741068620777,COMPLETE_3600S,TRUE,NOT_READY,0.8848412240022808,0.589894149334854,0.4424206120011404,0.35393648960091234,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_34,256,USDJPY,SHORT,0.0160000000,0.1091140620,0.164964988593,0.0000000000,0.0640000000,0.0770000000,0.586542181665,0.705683562316,ENTRY_SPREAD,TP_FIRST,1741069237068,SL_FIRST,1741068625996,COMPLETE_3600S,TRUE,NOT_READY,0.7331777273583674,0.488785151572245,0.3665888636791837,0.29327109094334697,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_35,258,USDJPY,LONG,0.0190000000,0.1014863674,0.177363723463,0.0000000000,0.0760000000,0.0920000000,0.748869054622,0.906525697701,ENTRY_SPREAD,SL_FIRST,1741070180379,TP_FIRST,1741070221896,COMPLETE_3600S,TRUE,NOT_READY,0.936086318131434,0.6240575454209562,0.468043159065717,0.37443452725257365,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_36,264,USDJPY,LONG,0.0180000000,0.0966050608,0.186325642329,0.0000000000,0.0720000000,0.0870000000,0.745302569315,0.900573937922,ENTRY_SPREAD,SL_FIRST,1741071685259,SL_FIRST,1741071803738,COMPLETE_3600S,TRUE,NOT_READY,0.9316282113452176,0.621085474230145,0.4658141056726088,0.372651284538087,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_37,278,USDJPY,LONG,0.0170000000,0.1009959220,0.158422238017,0.0000000000,0.0680000000,0.0820000000,0.673294511572,0.811913969837,ENTRY_SPREAD,TP_FIRST,1741072821107,SL_FIRST,1741072718652,COMPLETE_3600S,TRUE,NOT_READY,0.8416181397898422,0.5610787598598949,0.4208090698949211,0.3366472559159369,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_38,282,USDJPY,LONG,0.0190000000,0.1042193403,0.201498109175,0.0000000000,0.0760000000,0.0920000000,0.729231252254,0.882753621150,ENTRY_SPREAD,TP_FIRST,1741077114607,SL_FIRST,1741074915163,COMPLETE_3600S,TRUE,NOT_READY,0.9115390648850613,0.6076927099233742,0.45576953244253066,0.3646156259540246,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_39,285,USDJPY,LONG,0.0170000000,0.1014323619,0.187316943495,0.0000000000,0.0680000000,0.0820000000,0.670397481983,0.808420492980,ENTRY_SPREAD,SL_FIRST,1741075314478,TP_FIRST,1741075978287,COMPLETE_3600S,TRUE,NOT_READY,0.8379968523635453,0.5586645682423637,0.41899842618177263,0.3351987409454181,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_40,289,USDJPY,LONG,0.0190000000,0.0978042651,0.173816550739,0.0000000000,0.0760000000,0.0920000000,0.777062226834,0.940654274589,ENTRY_SPREAD,TP_FIRST,1741076888564,SL_FIRST,1741076827713,COMPLETE_3600S,TRUE,NOT_READY,0.9713277831275273,0.6475518554183517,0.48566389156376366,0.388531113251011,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_41,297,USDJPY,SHORT,0.0170000000,0.0924968745,0.183789993878,0.0000000000,0.0680000000,0.0820000000,0.735159975512,0.886516441058,ENTRY_SPREAD,SL_FIRST,1741078136107,SL_FIRST,1741077554983,COMPLETE_3600S,TRUE,NOT_READY,0.9189499694932936,0.612633312995529,0.4594749847466468,0.36757998779731743,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_42,301,USDJPY,SHORT,0.0210000000,0.0901773310,0.221785228822,0.0000000000,0.0840000000,0.1010000000,0.931497961051,1.120015405549,ENTRY_SPREAD,TP_FIRST,1741079049061,SL_FIRST,1741078895010,COMPLETE_3600S,TRUE,NOT_READY,1.164372451874851,0.7762483012499006,0.5821862259374255,0.46574898074994037,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_43,306,USDJPY,SHORT,0.0190000000,0.1000117032,0.179978936655,0.0000000000,0.0760000000,0.0920000000,0.759911065876,0.919892342903,ENTRY_SPREAD,TP_FIRST,1741080613737,SL_FIRST,1741080326942,COMPLETE_3600S,TRUE,NOT_READY,0.9498888326101419,0.6332592217400947,0.47494441630507095,0.37995553304405677,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_44,318,USDJPY,LONG,0.0180000000,0.0966234471,0.186290186715,0.0000000000,0.0720000000,0.0870000000,0.745160746861,0.900402569124,ENTRY_SPREAD,TP_FIRST,1741080856084,SL_FIRST,1741080791814,COMPLETE_3600S,TRUE,NOT_READY,0.9314509335074219,0.6209672890049479,0.46572546675371096,0.37258037340296873,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_45,329,USDJPY,LONG,0.0180000000,0.1194892231,0.150641200436,0.0000000000,0.0720000000,0.0870000000,0.602564801742,0.728099135439,ENTRY_SPREAD,SL_FIRST,1741082096708,TP_FIRST,1741082494438,COMPLETE_3600S,TRUE,NOT_READY,0.7532060018892197,0.5021373345928132,0.37660300094460986,0.30128240075568785,0.25
