family,side,trend,hours,hold,dist,rsi,train_pf,train_tpd,train_exp,test_pf,test_tpd,test_exp,test_trades
session-mean-reversion,long,none,asia,12,0.8,40.0,0.017237505647337486,15.785736530675802,-0.3517714160839162,0.019205725563978704,14.643377413195672,-0.36976216968011133,1438
session-mean-reversion,long,none,asia,12,0.8,45.0,0.018665411654225184,18.000431210023237,-0.34606017631276353,0.019446198046844457,17.136432738200458,-0.36177599524658344,1683
session-mean-reversion,long,none,asia,12,1.0,25.0,0.0176520844433828,4.619718309859155,-0.3260137195121947,0.021592488621188108,4.118654867256637,-0.3554331683168312,404
session-mean-reversion,long,none,asia,12,1.0,30.0,0.016939035390247666,7.743308331935492,-0.33026292335115864,0.019434328307409706,7.238230088495576,-0.36519718309859084,710
session-mean-reversion,long,none,asia,12,1.0,35.0,0.02002629968436799,11.289787703071836,-0.3357206601466994,0.01966993157117926,10.295534104168876,-0.36134520276953463,1011
session-mean-reversion,long,none,asia,12,1.0,40.0,0.017367139449538712,14.164386843303069,-0.3465353141743791,0.019882646831859287,12.942790467435119,-0.3707411487018095,1271
session-mean-reversion,long,none,asia,12,1.0,45.0,0.017823504566481865,15.654648683611622,-0.34537593653591886,0.020193750092827402,14.733462966236521,-0.36472356599861777,1447
session-mean-reversion,long,none,asia,12,1.2,25.0,0.01918382628229116,4.429577464788732,-0.31237201907790113,0.02320846607345602,3.945345132743363,-0.3446408268733845,387
session-mean-reversion,long,none,asia,12,1.2,30.0,0.018541055611492805,7.198102130310801,-0.3224276126558007,0.020949732162693843,6.830442477876106,-0.3551731343283574,670
session-mean-reversion,long,none,asia,12,1.2,35.0,0.020262485701048213,10.013130780658456,-0.32936871123363215,0.020671441524222067,9.257470207574524,-0.3540946094609454,909
session-mean-reversion,long,none,asia,12,1.2,40.0,0.017945928258824358,12.172221290461701,-0.3402811791383222,0.020930525162763888,11.202263083451202,-0.36077909090909055,1100
session-mean-reversion,long,none,asia,12,1.2,45.0,0.01826340459586129,13.207274121283275,-0.34097753396029273,0.021158197272671462,12.30081674504119,-0.3577723509933772,1208
session-mean-reversion,long,none,asia,12,1.5,25.0,0.021461052583831238,4.02112676056338,-0.3022434325744303,0.02440904215168295,3.6700884955752215,-0.34106388888888806,360
session-mean-reversion,long,none,asia,12,1.5,30.0,0.020347015372048537,6.114591071385781,-0.3140440180586907,0.021241774683213588,5.821168141592921,-0.35401050788090965,571
session-mean-reversion,long,none,asia,12,1.5,35.0,0.022255788156994007,8.011884794172616,-0.32114728682170535,0.020455867179439213,7.393755083277343,-0.3596046831955913,726
