period_id,variant,post_anchor_pullback_bucket,post_anchor_pullback_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,light_or_micro_n_exhaustion,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
full2025_validation,light_or_micro_n_exhaustion,post_anchor_pullback_pass,retest_only,3,0,0.0,-14.59,0,-14.59,0.0,-0.62,-0.20666666666666667,0.0,14.59,0.1459,-1.0,0,0.0,0,0.0,3,1.0,0.9177666666666666,0.31566666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,USDJPY:3,SHORT:3,london_newyork_overlap:2|london:1
full2025_validation,light_or_micro_n_exhaustion,post_anchor_pullback_pass,retest_reconfirm,3,1,0.3333333333333333,20.749999999999996,33.16,-12.41,2.6720386784850922,0.7988,0.26626666666666665,2.592186565676699,12.41,0.12409999999999999,1.6720386784850925,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.5537,0.22443333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:2|LONG:1,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_exhaustion,post_anchor_pullback_reject,failed_close_back_inside,4,3,0.75,71.5,96.61,-25.11,3.8474711270410196,2.9223,0.730575,3.8993947812282963,25.11,0.2511,2.8474711270410196,1,0.25,3,0.75,0,0.0,1.155775,0.657975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,light_or_micro_n_exhaustion,post_anchor_pullback_reject,none,39,14,0.358974358974359,23.950000000000003,365.9100000000001,-341.96,1.0700374312785124,1.0895000000000006,0.02793589743589745,1.0778164260868945,160.54000000000002,1.6054000000000002,0.1491840039865454,6,0.15384615384615385,10,0.2564102564102564,23,0.5897435897435898,0.7355358974358973,0.5226153846153846,0.6153846153846154,0.4358974358974359,0.3333333333333333,0.20512820512820512,0.0,USDJPY:22|EURUSD:8|EURJPY:5|GBPJPY:4,SHORT:28|LONG:11,london_newyork_overlap:14|new_york:11|london:9|tokyo:5
full2025_validation,light_or_micro_n_first,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
full2025_validation,light_or_micro_n_first,post_anchor_pullback_pass,retest_only,3,0,0.0,-14.59,0,-14.59,0.0,-0.62,-0.20666666666666667,0.0,14.59,0.1459,-1.0,0,0.0,0,0.0,3,1.0,0.9177666666666666,0.31566666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,USDJPY:3,SHORT:3,london_newyork_overlap:2|london:1
full2025_validation,light_or_micro_n_first,post_anchor_pullback_pass,retest_reconfirm,3,1,0.3333333333333333,20.749999999999996,33.16,-12.41,2.6720386784850922,0.7988,0.26626666666666665,2.592186565676699,12.41,0.12409999999999999,1.6720386784850925,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.5537,0.22443333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:2|LONG:1,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_first,post_anchor_pullback_reject,failed_close_back_inside,4,3,0.75,71.5,96.61,-25.11,3.8474711270410196,2.9223,0.730575,3.8993947812282963,25.11,0.2511,2.8474711270410196,1,0.25,3,0.75,0,0.0,1.155775,0.657975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,light_or_micro_n_first,post_anchor_pullback_reject,none,39,14,0.358974358974359,23.950000000000003,365.9100000000001,-341.96,1.0700374312785124,1.0895000000000006,0.02793589743589745,1.0778164260868945,160.54000000000002,1.6054000000000002,0.1491840039865454,6,0.15384615384615385,10,0.2564102564102564,23,0.5897435897435898,0.7355358974358973,0.5226153846153846,0.6153846153846154,0.4358974358974359,0.3333333333333333,0.20512820512820512,0.0,USDJPY:22|EURUSD:8|EURJPY:5|GBPJPY:4,SHORT:28|LONG:11,london_newyork_overlap:14|new_york:11|london:9|tokyo:5
full2025_validation,light_or_micro_n_pattern,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
full2025_validation,light_or_micro_n_pattern,post_anchor_pullback_pass,retest_only,3,0,0.0,-14.59,0,-14.59,0.0,-0.62,-0.20666666666666667,0.0,14.59,0.1459,-1.0,0,0.0,0,0.0,3,1.0,0.9177666666666666,0.31566666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,USDJPY:3,SHORT:3,london_newyork_overlap:2|london:1
full2025_validation,light_or_micro_n_pattern,post_anchor_pullback_pass,retest_reconfirm,3,1,0.3333333333333333,20.749999999999996,33.16,-12.41,2.6720386784850922,0.7988,0.26626666666666665,2.592186565676699,12.41,0.12409999999999999,1.6720386784850925,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.5537,0.22443333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:2|LONG:1,london:2|london_newyork_overlap:1
full2025_validation,light_or_micro_n_pattern,post_anchor_pullback_reject,failed_close_back_inside,4,3,0.75,71.5,96.61,-25.11,3.8474711270410196,2.9223,0.730575,3.8993947812282963,25.11,0.2511,2.8474711270410196,1,0.25,3,0.75,0,0.0,1.155775,0.657975,1.0,0.75,0.75,0.5,0.0,USDJPY:4,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
