cohort,horizon_seconds,omitted_server_day,episodes,mean_exec_spread_multiple
SR-REV-001,120,2025-03-31,565,-1.2473804819361691
SR-REV-001,180,2025-03-03,589,-1.27864398709322
SR-REV-001,180,2025-03-04,563,-1.2815866811641403
SR-REV-001,180,2025-03-05,546,-1.2363904487591817
SR-REV-001,180,2025-03-06,537,-1.278725711856686
SR-REV-001,180,2025-03-07,549,-1.2511482480744291
SR-REV-001,180,2025-03-10,553,-1.3082919323123205
SR-REV-001,180,2025-03-11,547,-1.3440428472188026
SR-REV-001,180,2025-03-12,559,-1.259330814746455
SR-REV-001,180,2025-03-13,568,-1.2452021911938778
SR-REV-001,180,2025-03-14,568,-1.2845225732417025
SR-REV-001,180,2025-03-17,572,-1.3074372600912227
SR-REV-001,180,2025-03-18,568,-1.2809353479699315
SR-REV-001,180,2025-03-19,561,-1.2975781121147771
SR-REV-001,180,2025-03-20,567,-1.3601831409635559
SR-REV-001,180,2025-03-21,571,-1.2701624596237664
SR-REV-001,180,2025-03-24,565,-1.3001764257918775
SR-REV-001,180,2025-03-25,577,-1.3116774726932166
SR-REV-001,180,2025-03-26,566,-1.2869229818069094
SR-REV-001,180,2025-03-27,569,-1.3035986490168967
SR-REV-001,180,2025-03-28,577,-1.303524981019139
SR-REV-001,180,2025-03-31,568,-1.2801084321769125
SR-REV-001,300,2025-03-03,527,-1.3742298333324832
SR-REV-001,300,2025-03-04,503,-1.400169259317069
SR-REV-001,300,2025-03-05,490,-1.3294364994731889
SR-REV-001,300,2025-03-06,485,-1.3682009621572209
SR-REV-001,300,2025-03-07,498,-1.3574949968338579
SR-REV-001,300,2025-03-10,491,-1.3655967273290808
SR-REV-001,300,2025-03-11,496,-1.5012219494260455
SR-REV-001,300,2025-03-12,506,-1.3935512086167694
SR-REV-001,300,2025-03-13,504,-1.403945856975717
SR-REV-001,300,2025-03-14,509,-1.3985863455916996
SR-REV-001,300,2025-03-17,517,-1.4136782395127077
SR-REV-001,300,2025-03-18,507,-1.3961449928037692
SR-REV-001,300,2025-03-19,501,-1.4433086364919647
SR-REV-001,300,2025-03-20,510,-1.4617267565262873
SR-REV-001,300,2025-03-21,517,-1.4214356522394194
SR-REV-001,300,2025-03-24,518,-1.4147812609349697
SR-REV-001,300,2025-03-25,519,-1.417955012547231
SR-REV-001,300,2025-03-26,512,-1.4118879470096903
SR-REV-001,300,2025-03-27,509,-1.4219764248094242
SR-REV-001,300,2025-03-28,512,-1.416155882822704
SR-REV-001,300,2025-03-31,509,-1.3884556625541402
SR-REV-001,600,2025-03-03,546,-1.334300797955271
SR-REV-001,600,2025-03-04,520,-1.2793858638383422
SR-REV-001,600,2025-03-05,511,-1.1986310861275888
SR-REV-001,600,2025-03-06,496,-1.3111430802292314
SR-REV-001,600,2025-03-07,507,-1.3044182764146817
SR-REV-001,600,2025-03-10,519,-1.3283999738767955
SR-REV-001,600,2025-03-11,510,-1.423077754545701
SR-REV-001,600,2025-03-12,520,-1.407361190679134
SR-REV-001,600,2025-03-13,523,-1.333133807456826
SR-REV-001,600,2025-03-14,524,-1.371438771244854
SR-REV-001,600,2025-03-17,533,-1.3642479222987351
SR-REV-001,600,2025-03-18,530,-1.3720269776010894
SR-REV-001,600,2025-03-19,524,-1.3928973155468398
SR-REV-001,600,2025-03-20,527,-1.4107159328801084
SR-REV-001,600,2025-03-21,536,-1.3184170548409009
SR-REV-001,600,2025-03-24,522,-1.414897371871336
SR-REV-001,600,2025-03-25,539,-1.362688785818479
SR-REV-001,600,2025-03-26,528,-1.3524916329271288
SR-REV-001,600,2025-03-27,524,-1.3493793234799094
SR-REV-001,600,2025-03-28,531,-1.29599553529817
SR-REV-001,600,2025-03-31,530,-1.3700021019771849
SR-REV-001,900,2025-03-03,524,-1.2112978502154925
SR-REV-001,900,2025-03-04,502,-1.2140643041615398
SR-REV-001,900,2025-03-05,486,-0.9680896518810219
SR-REV-001,900,2025-03-06,476,-1.2254091148992787
SR-REV-001,900,2025-03-07,487,-1.112327178633067
SR-REV-001,900,2025-03-10,500,-1.2093116480652688
SR-REV-001,900,2025-03-11,488,-1.2806487331412255
SR-REV-001,900,2025-03-12,493,-1.3176506352594715
SR-REV-001,900,2025-03-13,493,-1.1813601027844014
SR-REV-001,900,2025-03-14,496,-1.2143370556123
SR-REV-001,900,2025-03-17,512,-1.2738588308081171
SR-REV-001,900,2025-03-18,503,-1.2621254308492462
SR-REV-001,900,2025-03-19,501,-1.2159970793478825
SR-REV-001,900,2025-03-20,505,-1.3175207715718613
SR-REV-001,900,2025-03-21,509,-1.2193350034021218
SR-REV-001,900,2025-03-24,510,-1.3118789082976257
SR-REV-001,900,2025-03-25,513,-1.2348808972902485
SR-REV-001,900,2025-03-26,505,-1.252147718611247
SR-REV-001,900,2025-03-27,501,-1.2730222497629748
SR-REV-001,900,2025-03-28,508,-1.2216743284775817
SR-REV-001,900,2025-03-31,508,-1.2318338650441536
