scenario,nearest_obstacle_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_clean_target_path_first60,current_day_high,5,2,0.4,-12.98,37.5,-50.48,0.7428684627575278,-0.5525000000000003,-0.11050000000000007,0.7417862317147262,47.94,-0.2707551105548603
session_reversal_pullback_clean_target_path_first60,current_day_low,5,1,0.2,-39.03,37.68,-76.71,0.4912006257332812,-1.8298999999999999,-0.36597999999999997,0.4541359663514602,69.44,-0.5620679723502304
session_reversal_pullback_clean_target_path_first60,round_number,6,2,0.3333333333333333,-14.120000000000001,61.7,-75.82,0.8137694539699288,-0.5971999999999998,-0.09953333333333331,0.8148389297119648,42.129999999999995,-0.3351530975551864
session_reversal_pullback_clean_target_path_first60,wick_cluster_zone,1,0,0.0,-30.44,0,-30.44,0.0,-1.2468,-1.2468,0.0,30.44,-1.0
tokyo_first120_reference,current_day_high,4,1,0.25,-58.64000000000001,15.51,-74.15,0.20917060013486174,-2.3376,-0.5844,0.22488228662378143,74.15,-0.7908293998651382
tokyo_first120_reference,current_day_low,4,2,0.5,15.200000000000003,62.92,-47.72,1.3185247275775356,0.5536999999999999,0.13842499999999996,1.2753630395862343,47.72,0.3185247275775357
tokyo_first120_reference,failed_breakout_level,2,1,0.5,-13.889999999999999,9.63,-23.52,0.40943877551020413,-0.5482,-0.2741,0.45899536168952926,23.52,-0.5905612244897959
tokyo_first120_reference,pre_session_high,1,1,1.0,35.15,35.15,0,inf,1.4987,1.4987,inf,0.0,inf
tokyo_first120_reference,pre_session_low,1,0,0.0,-22.56,0,-22.56,0.0,-1.0088,-1.0088,0.0,22.56,-1.0
tokyo_first120_reference,previous_day_high,1,1,1.0,35.68,35.68,0,inf,1.5134,1.5134,inf,0.0,inf
tokyo_first120_reference,previous_day_low,1,0,0.0,-22.56,0,-22.56,0.0,-1.002,-1.002,0.0,22.56,-1.0
tokyo_first120_reference,recent_equal_highs,2,1,0.5,30.199999999999996,36.48,-6.28,5.808917197452229,1.2416999999999998,0.6208499999999999,5.687429218573046,6.28,4.808917197452228
tokyo_first120_reference,recent_rejection_zone,1,1,1.0,35.23,35.23,0,inf,1.5,1.5,inf,0.0,inf
tokyo_first120_reference,wick_cluster_zone,1,0,0.0,-23.5,0,-23.5,0.0,-1.0017,-1.0017,0.0,23.5,-1.0
london_first120_reference,current_day_high,7,6,0.8571428571428571,160.48000000000002,185.08000000000004,-24.6,7.523577235772359,6.6293,0.9470428571428571,7.515922940829565,24.6,6.5235772357723585
london_first120_reference,current_day_low,3,1,0.3333333333333333,3.969999999999999,35.97,-32.0,1.1240625,0.16559999999999997,0.05519999999999999,1.1230312035661218,32.0,0.12406249999999996
london_first120_reference,failed_breakout_level,4,2,0.5,24.149999999999995,74.71,-50.56,1.477650316455696,0.9807000000000001,0.24517500000000003,1.4853028503562946,50.56,0.47765031645569606
london_first120_reference,pre_session_high,2,1,0.5,11.840000000000003,37.88,-26.04,1.4546850998463903,0.4695999999999998,0.2347999999999999,1.4544662731055837,26.04,0.45468509984639033
