scenario,symbol_session,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_one_symbol_first60,EURJPY_london,1,0,0.0,-23.72,0,-23.72,0.0,-1.0146,-1.0146,0.0,23.72,-1.0
session_reversal_pullback_one_symbol_first60,EURJPY_london_newyork_overlap,4,3,0.75,83.35,107.41,-24.06,4.464256026600166,3.4957000000000003,0.8739250000000001,4.4957,24.060000000000002,3.464256026600166
session_reversal_pullback_one_symbol_first60,EURJPY_new_york,3,1,0.3333333333333333,3.93,35.82,-31.89,1.123236124176858,0.2743,0.09143333333333332,1.2200032082130254,31.89,0.12323612417685795
session_reversal_pullback_one_symbol_first60,EURJPY_tokyo,1,0,0.0,-22.59,0,-22.59,0.0,-1.0088,-1.0088,0.0,22.59,-1.0
session_reversal_pullback_one_symbol_first60,EURUSD_london_newyork_overlap,8,3,0.375,-19.070000000000004,80.48,-99.55000000000001,0.80843797086891,-0.9348999999999996,-0.11686249999999995,0.7852976299834651,76.60000000000001,-0.24895561357702353
session_reversal_pullback_one_symbol_first60,EURUSD_new_york,4,1,0.25,-55.99,1.82,-57.809999999999995,0.03148244248399931,-2.2107,-0.552675,0.08754333828628034,55.99,-1.0
session_reversal_pullback_one_symbol_first60,GBPJPY_london_newyork_overlap,2,1,0.5,-13.54,9.45,-22.99,0.41104828186167897,-0.6016000000000001,-0.30080000000000007,0.40500445059835816,22.99,-0.588951718138321
session_reversal_pullback_one_symbol_first60,GBPJPY_new_york,4,0,0.0,-56.22,0,-56.22,0.0,-2.3002000000000002,-0.5750500000000001,0.0,56.22,-1.0
session_reversal_pullback_one_symbol_first60,GBPJPY_tokyo,2,0,0.0,-30.59,0,-30.59,0.0,-1.2666,-0.6333,0.0,30.59,-1.0
session_reversal_pullback_one_symbol_first60,GBPUSD_london,2,2,1.0,72.9,72.9,0,inf,3.01,1.505,inf,0.0,inf
session_reversal_pullback_one_symbol_first60,GBPUSD_london_newyork_overlap,7,1,0.14285714285714285,-93.82,35.34,-129.16,0.27361412201920104,-4.0042,-0.5720285714285714,0.27234730778316885,93.82,-1.0
session_reversal_pullback_one_symbol_first60,GBPUSD_new_york,11,3,0.2727272727272727,-139.59,27.419999999999998,-167.01,0.16418178552182505,-5.726400000000001,-0.5205818181818183,0.17680376061986977,139.59,-1.0
session_reversal_pullback_one_symbol_first60,USDJPY_london,12,7,0.5833333333333334,89.28999999999999,191.98,-102.69,1.8695101762586424,3.7933000000000003,0.3161083333333334,1.8668814845285435,54.519999999999996,1.6377476155539252
session_reversal_pullback_one_symbol_first60,USDJPY_london_newyork_overlap,7,4,0.5714285714285714,73.78,130.60000000000002,-56.82,2.2984864484336507,3.2281,0.4611571428571429,2.321204927761634,23.56,3.1315789473684212
session_reversal_pullback_one_symbol_first60,USDJPY_new_york,14,4,0.2857142857142857,-130.5,72.53999999999999,-203.04000000000002,0.3572695035460992,-5.4328,-0.3880571428571429,0.36860944854436634,132.76,-0.9829768002410365
session_reversal_pullback_one_symbol_first60,USDJPY_tokyo,7,4,0.5714285714285714,53.56999999999999,123.57,-70.0,1.7652857142857141,2.1868999999999996,0.31241428571428564,1.7259660071703622,31.160000000000004,1.7191912708600765
session_reversal_pullback_clean_target_path_first120,AUDJPY_london,2,0,0.0,-30.990000000000002,0,-30.990000000000002,0.0,-1.3260999999999998,-0.6630499999999999,0.0,30.990000000000002,-1.0
session_reversal_pullback_clean_target_path_first120,EURJPY_new_york,1,0,0.0,-31.17,0,-31.17,0.0,-1.2468,-1.2468,0.0,31.17,-1.0
session_reversal_pullback_clean_target_path_first120,EURUSD_london_newyork_overlap,1,0,0.0,-25.28,0,-25.28,0.0,-1.0227,-1.0227,0.0,25.28,-1.0
session_reversal_pullback_clean_target_path_first120,GBPJPY_london,1,1,1.0,35.27,35.27,0,inf,1.5012,1.5012,inf,0.0,inf
session_reversal_pullback_clean_target_path_first120,GBPUSD_london,1,1,1.0,36.0,36.0,0,inf,1.5267,1.5267,inf,0.0,inf
session_reversal_pullback_clean_target_path_first120,GBPUSD_london_newyork_overlap,1,0,0.0,-21.66,0,-21.66,0.0,-1.0,-1.0,0.0,21.66,-1.0
session_reversal_pullback_clean_target_path_first120,GBPUSD_new_york,1,0,0.0,-24.61,0,-24.61,0.0,-1.0094,-1.0094,0.0,24.61,-1.0
session_reversal_pullback_clean_target_path_first120,USDJPY_london,7,5,0.7142857142857143,91.72999999999999,123.6,-31.87,3.878255412613743,3.9456000000000007,0.563657142857143,3.9420624860189397,31.87,2.878255412613743
session_reversal_pullback_clean_target_path_first120,USDJPY_london_newyork_overlap,3,1,0.3333333333333333,8.41,28.26,-19.85,1.4236775818639797,0.2884,0.09613333333333333,1.344728663638537,19.85,0.4236775818639798
session_reversal_pullback_clean_target_path_first120,USDJPY_new_york,1,0,0.0,-2.54,0,-2.54,0.0,-0.1303,-0.1303,0.0,2.54,-1.0
session_reversal_pullback_clean_target_path_first120,USDJPY_tokyo,4,1,0.25,-33.13999999999999,37.68,-70.82,0.5320530923467948,-1.4928000000000001,-0.37320000000000003,0.504908463783497,48.31999999999999,-0.6858443708609271
session_reversal_pullback_clean_target_path_first60,AUDJPY_london,2,0,0.0,-30.990000000000002,0,-30.990000000000002,0.0,-1.3260999999999998,-0.6630499999999999,0.0,30.990000000000002,-1.0
